,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
0,-49.5713,12.5244,-0.0957713,0,0,0,1.7286e-18,-8.20624e-18,3.65718e-18,0.0,0
1,-49.059,12.5184,-0.096109,0,0,0,-1.9853e-19,-9.4444e-18,3.23873e-18,0.0,0
2,-48.5477,12.5123,-0.0980864,0,0,0,-2.07557e-18,-1.06174e-17,2.72543e-18,0.0,0
3,-48.0358,12.5065,-0.0979643,0,0,0,-3.71187e-18,-1.19245e-17,2.1453e-18,0.0,0
4,-47.5234,12.5011,-0.0957555,0,0,0,-5.10899e-18,-1.33649e-17,1.49867e-18,0.0,0
5,-47.0107,12.4958,-0.0916794,0,0,0,-6.28164e-18,-1.46809e-17,9.69415e-19,0.0,0
6,-46.4978,12.4906,-0.0869865,0,0,0,-7.37999e-18,-1.59558e-17,4.79167e-19,0.0,0
7,-45.9853,12.4852,-0.0818077,0,0,0,-8.64649e-18,-1.70502e-17,1.5156e-19,0.0,0
8,-45.4733,12.4797,-0.0779962,0,0,0,-9.93938e-18,-1.81583e-17,-1.18432e-19,0.0,0
9,-44.9631,12.4743,-0.0782491,0,0,0,-1.13112e-17,-1.93064e-17,-2.16444e-19,0.0,0
10,-44.4532,12.4689,-0.0789472,0,0,0,-1.27283e-17,-2.02206e-17,-1.47242e-19,0.0,0
11,-43.9436,12.4636,-0.080088,0,0,0,-1.41906e-17,-2.09017e-17,8.8653e-20,0.0,0
12,-43.4342,12.4582,-0.0805285,0,0,0,-1.56584e-17,-2.15395e-17,3.58071e-19,0.0,0
13,-42.9247,12.4529,-0.0807341,0,0,0,-1.71279e-17,-2.2163e-17,6.38562e-19,0.0,0
14,-42.4142,12.447,-0.0765383,0,0,0,-1.87559e-17,-2.26724e-17,7.74406e-19,0.0,0
15,-41.9038,12.441,-0.0722978,0,0,0,-2.02193e-17,-2.30799e-17,9.05384e-19,0.0,0
16,-41.3937,12.4352,-0.0679142,0,0,0,-2.11888e-17,-2.31814e-17,1.0217e-18,0.0,0
17,-40.884,12.4296,-0.0640757,0,0,0,-2.2131e-17,-2.32552e-17,1.23069e-18,0.0,0
18,-40.3746,12.4242,-0.0607808,0,0,0,-2.3046e-17,-2.33011e-17,1.53239e-18,0.0,0
19,-39.8658,12.4189,-0.0581459,0,0,0,-2.38414e-17,-2.30611e-17,1.77786e-18,0.0,0
20,-39.3572,12.4135,-0.0557287,0,0,0,-2.4597e-17,-2.27258e-17,2.0046e-18,0.0,0
21,-38.8493,12.4081,-0.0542439,0,0,0,-2.53899e-17,-2.23512e-17,2.07974e-18,0.0,0
22,-38.3415,12.4027,-0.0525425,0,0,0,-2.59623e-17,-2.19254e-17,2.16407e-18,0.0,0
23,-37.8337,12.3973,-0.0501839,0,0,0,-2.58705e-17,-2.13455e-17,2.27638e-18,0.0,0
