,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
0,-49.7642,2.70179,-0.0612951,0,0,0,-1.00664e-18,-1.04373e-17,2.40966e-18,0.0,3
1,-49.2514,2.70122,-0.0580405,0,0,0,-4.78764e-18,-1.32384e-17,1.80578e-18,0.0,3
2,-48.739,2.70054,-0.0552304,0,0,0,-7.55003e-18,-1.53439e-17,1.61549e-18,0.0,3
3,-48.2271,2.69993,-0.0532311,0,0,0,-9.86488e-18,-1.70058e-17,1.31604e-18,0.0,3
4,-47.7157,2.69936,-0.0519616,0,0,0,-1.17808e-17,-1.82718e-17,9.196e-19,0.0,3
5,-47.2039,2.69947,-0.0488185,0,0,0,-1.35698e-17,-1.88049e-17,6.50735e-19,0.0,3
6,-46.6921,2.69976,-0.0451962,0,0,0,-1.53146e-17,-1.91139e-17,4.19524e-19,0.0,3
7,-46.1818,2.69973,-0.0446114,0,0,0,-1.66435e-17,-1.89115e-17,2.54383e-19,0.0,3
8,-45.6715,2.69953,-0.0436805,0,0,0,-1.7855e-17,-1.86177e-17,7.04472e-20,0.0,3
9,-45.1611,2.69889,-0.0418185,0,0,0,-1.87432e-17,-1.80753e-17,-1.63052e-19,0.0,3
10,-44.6505,2.69809,-0.0385439,0,0,0,-1.9487e-17,-1.74792e-17,-3.94347e-19,0.0,3
11,-44.1397,2.69716,-0.0339316,0,0,0,-2.0094e-17,-1.68321e-17,-6.23319e-19,0.0,3
12,-43.6298,2.69618,-0.0312794,0,0,0,-2.0722e-17,-1.6438e-17,-8.70123e-19,0.0,3
13,-43.1203,2.6952,-0.0292448,0,0,0,-2.1353e-17,-1.61216e-17,-1.1229e-18,0.0,3
14,-42.6114,2.69436,-0.0277522,0,0,0,-2.13344e-17,-1.56506e-17,-1.40898e-18,0.0,3
15,-42.1024,2.69359,-0.0257918,0,0,0,-2.11767e-17,-1.50847e-17,-1.64587e-18,0.0,3
16,-41.5933,2.69298,-0.0224426,0,0,0,-2.06098e-17,-1.42418e-17,-1.73925e-18,0.0,3
17,-41.0841,2.69251,-0.018467,0,0,0,-1.98516e-17,-1.35941e-17,-1.86113e-18,0.0,3
18,-40.575,2.69214,-0.0138678,0,0,0,-1.89027e-17,-1.31414e-17,-2.01113e-18,0.0,3
19,-40.0672,2.6918,-0.0123956,0,0,0,-1.81321e-17,-1.27764e-17,-2.22251e-18,0.0,3
20,-39.5599,2.69147,-0.0119863,0,0,0,-1.74212e-17,-1.24406e-17,-2.45415e-18,0.0,3
21,-39.054,2.69059,-0.0144622,0,0,0,-1.62539e-17,-1.23153e-17,-2.42924e-18,0.0,3
22,-38.548,2.68956,-0.0165963,0,0,0,-1.51791e-17,-1.22859e-17,-2.4062e-18,0.0,3
23,-38.042,2.68806,-0.0175675,0,0,0,-1.44065e-17,-1.25586e-17,-2.39586e-18,0.0,3
24,-37.5354,2.68682,-0.0162316,0,0,0,-1.35705e-17,-1.2847e-17,-2.44159e-18,0.0,3
25,-37.0283,2.68587,-0.0124689,0,0,0,-1.26674e-17,-1.31524e-17,-2.54675e-18,0.0,3
26,-36.5213,2.68492,-0.00832066,0,0,0,-1.17521e-17,-1.34674e-17,-2.58704e-18,0.0,3
27,-36.0144,2.68399,-0.00404474,0,0,0,-1.08321e-17,-1.37862e-17,-2.60326e-18,0.0,3
28,-35.5081,2.6835,-0.000317935,0,0,0,-9.55888e-18,-1.38628e-17,-2.29384e-18,0.0,3
29,-35.0019,2.6831,0.00336134,0,0,0,-8.3082e-18,-1.40218e-17,-2.06014e-18,0.0,3
30,-34.4961,2.68288,0.00691549,0,0,0,-7.16435e-18,-1.44821e-17,-2.10929e-18,0.0,3
31,-33.9909,2.68252,0.00925123,0,0,0,-6.11674e-18,-1.47018e-17,-2.17501e-18,0.0,3
32,-33.4863,2.68198,0.0102361,0,0,0,-5.17539e-18,-1.46504e-17,-2.25976e-18,0.0,3
33,-32.9827,2.68141,0.00901618,0,0,0,-4.40745e-18,-1.44772e-17,-2.16821e-18,0.0,3
34,-32.4795,2.6808,0.006947,0,0,0,-3.70708e-18,-1.4257e-17,-2.00806e-18,0.0,3
35,-31.976,2.6802,0.00695056,0,0,0,-3.41203e-18,-1.40914e-17,-1.72355e-18,0.0,3
36,-31.4725,2.67956,0.00738486,0,0,0,-3.1306e-18,-1.38584e-17,-1.49512e-18,0.0,3
37,-30.969,2.67882,0.00911145,0,0,0,-2.85064e-18,-1.33677e-17,-1.49048e-18,0.0,3
38,-30.4651,2.67798,0.0123789,0,0,0,-2.55926e-18,-1.31872e-17,-1.43385e-18,0.0,3
39,-29.9609,2.67707,0.0174612,0,0,0,-2.25481e-18,-1.3373e-17,-1.31558e-18,0.0,3
40,-29.4578,2.676,0.0198076,0,0,0,-2.30108e-18,-1.31725e-17,-1.13748e-18,0.0,3
41,-28.9552,2.67486,0.0210172,0,0,0,-2.49343e-18,-1.28106e-17,-9.34624e-19,0.0,3
42,-28.4534,2.67395,0.0211047,0,0,0,-2.7046e-18,-1.30851e-17,-7.73983e-19,0.0,3
43,-27.9516,2.67314,0.0213504,0,0,0,-2.97089e-18,-1.33331e-17,-5.57089e-19,0.0,3
44,-27.4498,2.67279,0.0224529,0,0,0,-3.45967e-18,-1.33404e-17,-1.03228e-19,0.0,3
45,-26.9483,2.67245,0.0232469,0,0,0,-4.00142e-18,-1.34476e-17,3.20323e-19,0.0,3
46,-26.4472,2.67214,0.0236531,0,0,0,-4.60906e-18,-1.36789e-17,7.06296e-19,0.0,3
47,-25.9461,2.67175,0.0248412,0,0,0,-5.75373e-18,-1.38286e-17,9.90075e-19,0.0,3
48,-25.445,2.67135,0.0263821,0,0,0,-7.13807e-18,-1.39411e-17,1.22799e-18,0.0,3
49,-24.9446,2.67063,0.0271369,0,0,0,-7.77023e-18,-1.4316e-17,1.58324e-18,0.0,3
50,-24.4441,2.6699,0.0281216,0,0,0,-8.42215e-18,-1.47134e-17,1.92617e-18,0.0,3
51,-23.9437,2.66911,0.0303478,0,0,0,-9.38319e-18,-1.51318e-17,2.17885e-18,0.0,3
52,-23.4433,2.66818,0.0327272,0,0,0,-1.03469e-17,-1.5538e-17,2.33088e-18,0.0,3
53,-22.9432,2.66701,0.0353081,0,0,0,-1.13138e-17,-1.59278e-17,2.34951e-18,0.0,3
54,-22.4437,2.66625,0.0363971,0,0,0,-1.24437e-17,-1.65526e-17,2.33639e-18,0.0,3
55,-21.9446,2.66568,0.0367715,0,0,0,-1.36514e-17,-1.72893e-17,2.30837e-18,0.0,3
56,-21.4455,2.66509,0.038334,0,0,0,-1.44306e-17,-1.78871e-17,2.228e-18,0.0,3
57,-20.9465,2.66445,0.040144,0,0,0,-1.51238e-17,-1.84554e-17,2.10701e-18,0.0,3
58,-20.4475,2.66365,0.0426882,0,0,0,-1.55665e-17,-1.89347e-17,1.80915e-18,0.0,3
59,-19.9489,2.66276,0.0445867,0,0,0,-1.58959e-17,-1.93242e-17,1.41992e-18,0.0,3
60,-19.4508,2.66179,0.0455972,0,0,0,-1.60661e-17,-1.95879e-17,9.02435e-19,0.0,3
61,-18.9532,2.66096,0.0460859,0,0,0,-1.5967e-17,-1.98538e-17,4.11728e-19,0.0,3
62,-18.4557,2.66023,0.0463123,0,0,0,-1.57309e-17,-2.01215e-17,-6.56467e-20,0.0,3
63,-17.9586,2.65974,0.0465523,0,0,0,-1.5301e-17,-2.03405e-17,-4.6604e-19,0.0,3
64,-17.4615,2.65923,0.0469113,0,0,0,-1.48615e-17,-2.04429e-17,-8.58128e-19,0.0,3
65,-16.9646,2.65834,0.0478933,0,0,0,-1.44759e-17,-1.99382e-17,-1.24493e-18,0.0,3
66,-16.4679,2.65748,0.0488251,0,0,0,-1.40978e-17,-1.96136e-17,-1.68041e-18,0.0,3
67,-15.9714,2.65666,0.0496841,0,0,0,-1.37318e-17,-1.95553e-17,-2.18789e-18,0.0,3
68,-15.4755,2.65595,0.0495228,0,0,0,-1.33199e-17,-1.94191e-17,-2.54132e-18,0.0,3
69,-14.9799,2.65528,0.0488066,0,0,0,-1.28835e-17,-1.92407e-17,-2.81124e-18,0.0,3
70,-14.4843,2.65461,0.0492261,0,0,0,-1.23449e-17,-1.86959e-17,-2.87368e-18,0.0,3
71,-13.9888,2.65386,0.0496287,0,0,0,-1.18227e-17,-1.80797e-17,-2.89065e-18,0.0,3
72,-13.4939,2.65277,0.0491258,0,0,0,-1.14755e-17,-1.72885e-17,-2.77707e-18,0.0,3
73,-12.9992,2.65165,0.0483437,0,0,0,-1.11395e-17,-1.64909e-17,-2.60675e-18,0.0,3
74,-12.5049,2.65049,0.0471261,0,0,0,-1.08222e-17,-1.56836e-17,-2.34627e-18,0.0,3
75,-12.0107,2.64965,0.0463272,0,0,0,-1.09556e-17,-1.49011e-17,-2.07364e-18,0.0,3
76,-11.5166,2.649,0.0457694,0,0,0,-1.13479e-17,-1.41324e-17,-1.79452e-18,0.0,3
77,-11.0222,2.64852,0.0473793,0,0,0,-1.15848e-17,-1.30373e-17,-1.69656e-18,0.0,3
78,-10.5278,2.64806,0.0493804,0,0,0,-1.1806e-17,-1.1932e-17,-1.60426e-18,0.0,3
79,-10.0336,2.6475,0.0521043,0,0,0,-1.20614e-17,-1.10638e-17,-1.38389e-18,0.0,3
80,-9.53977,2.64683,0.0537155,0,0,0,-1.22857e-17,-1.01643e-17,-1.19232e-18,0.0,3
81,-9.04673,2.64593,0.0534569,0,0,0,-1.2459e-17,-9.21248e-18,-1.04914e-18,0.0,3
82,-8.55385,2.64514,0.0534992,0,0,0,-1.26763e-17,-8.63369e-18,-9.19691e-19,0.0,3
83,-8.06106,2.64443,0.053725,0,0,0,-1.29197e-17,-8.28238e-18,-7.98436e-19,0.0,3
84,-7.56864,2.64375,0.0537991,0,0,0,-1.34844e-17,-8.0535e-18,-6.62133e-19,0.0,3
85,-7.07634,2.64308,0.0538207,0,0,0,-1.40427e-17,-7.84846e-18,-5.24224e-19,0.0,3
86,-6.58444,2.64241,0.0535859,0,0,0,-1.41662e-17,-7.6886e-18,-3.91359e-19,0.0,3
87,-6.09251,2.64167,0.0539594,0,0,0,-1.43719e-17,-7.59673e-18,-3.07148e-19,0.0,3
88,-5.60056,2.64081,0.055417,0,0,0,-1.47233e-17,-7.62733e-18,-3.08845e-19,0.0,3
89,-5.10911,2.63994,0.0558137,0,0,0,-1.51509e-17,-7.79718e-18,6.02926e-20,0.0,3
90,-4.61799,2.63904,0.0555152,0,0,0,-1.56272e-17,-8.05685e-18,6.69963e-19,0.0,3
91,-4.12711,2.63804,0.0555701,0,0,0,-1.58858e-17,-8.30216e-18,1.07789e-18,0.0,3
92,-3.63635,2.63698,0.055537,0,0,0,-1.60518e-17,-8.54419e-18,1.45228e-18,0.0,3
93,-3.14627,2.6358,0.0541521,0,0,0,-1.57203e-17,-8.78767e-18,1.83761e-18,0.0,3
94,-2.65617,2.63466,0.0533936,0,0,0,-1.54572e-17,-9.06291e-18,2.15085e-18,0.0,3
95,-2.16601,2.63364,0.0538114,0,0,0,-1.53239e-17,-9.39871e-18,2.32683e-18,0.0,3
96,-1.6761,2.63266,0.0541007,0,0,0,-1.51394e-17,-9.81028e-18,2.40577e-18,0.0,3
97,-1.18638,2.63174,0.0542943,0,0,0,-1.49201e-17,-1.02739e-17,2.41843e-18,0.0,3
98,-0.697212,2.6311,0.053507,0,0,0,-1.47054e-17,-1.0876e-17,2.31424e-18,0.0,3
99,-0.208192,2.6305,0.0524957,0,0,0,-1.44993e-17,-1.14703e-17,2.19558e-18,0.0,3
100,0.280375,2.62976,0.0510757,0,0,0,-1.43713e-17,-1.16988e-17,2.1599e-18,0.0,3
101,0.768893,2.62904,0.0499243,0,0,0,-1.43936e-17,-1.19838e-17,2.10042e-18,0.0,3
102,1.2573,2.62836,0.0492992,0,0,0,-1.47196e-17,-1.23838e-17,1.99274e-18,0.0,3
103,1.74575,2.62787,0.0497527,0,0,0,-1.49449e-17,-1.28521e-17,2.00119e-18,0.0,3
104,2.23424,2.6275,0.0509869,0,0,0,-1.50971e-17,-1.33704e-17,2.09426e-18,0.0,3
105,2.72169,2.6265,0.0492735,0,0,0,-1.54276e-17,-1.4008e-17,1.99438e-18,0.0,3
106,3.20891,2.62536,0.0470168,0,0,0,-1.58013e-17,-1.46602e-17,1.854e-18,0.0,3
107,3.69604,2.62419,0.0457882,0,0,0,-1.62301e-17,-1.51758e-17,1.71522e-18,0.0,3
108,4.18318,2.623,0.045098,0,0,0,-1.66501e-17,-1.56178e-17,1.59273e-18,0.0,3
109,4.67036,2.6218,0.0455527,0,0,0,-1.7051e-17,-1.5902e-17,1.50484e-18,0.0,3
110,5.15741,2.62055,0.0464131,0,0,0,-1.7491e-17,-1.61501e-17,1.52476e-18,0.0,3
111,5.64438,2.6193,0.0475766,0,0,0,-1.79612e-17,-1.63704e-17,1.62795e-18,0.0,3
112,6.13039,2.61794,0.0460038,0,0,0,-1.83351e-17,-1.69765e-17,1.74012e-18,0.0,3
113,6.61615,2.61656,0.0437753,0,0,0,-1.86557e-17,-1.76387e-17,1.86404e-18,0.0,3
114,7.1015,2.61514,0.0412515,0,0,0,-1.84619e-17,-1.77429e-17,2.14088e-18,0.0,3
115,7.58679,2.61384,0.0389513,0,0,0,-1.83092e-17,-1.79184e-17,2.34155e-18,0.0,3
116,8.07195,2.61281,0.0371588,0,0,0,-1.82504e-17,-1.82577e-17,2.36788e-18,0.0,3
117,8.55732,2.61212,0.0370806,0,0,0,-1.81879e-17,-1.84419e-17,2.46261e-18,0.0,3
118,9.04287,2.61167,0.0384041,0,0,0,-1.81217e-17,-1.84992e-17,2.6133e-18,0.0,3
119,9.52809,2.61141,0.039667,0,0,0,-1.84254e-17,-1.85182e-17,2.82388e-18,0.0,3
120,10.0132,2.61118,0.0408442,0,0,0,-1.87974e-17,-1.85319e-17,3.04512e-18,0.0,3
121,10.4976,2.61085,0.0404255,0,0,0,-1.86005e-17,-1.86307e-17,3.16803e-18,0.0,3
122,10.9818,2.61041,0.0394682,0,0,0,-1.84743e-17,-1.86483e-17,3.24014e-18,0.0,3
123,11.4654,2.60965,0.0371907,0,0,0,-1.85214e-17,-1.84657e-17,3.18682e-18,0.0,3
124,11.949,2.60863,0.036045,0,0,0,-1.8551e-17,-1.80837e-17,3.14353e-18,0.0,3
125,12.4328,2.60738,0.0358781,0,0,0,-1.85652e-17,-1.75291e-17,3.10896e-18,0.0,3
126,12.916,2.60593,0.0348702,0,0,0,-1.8676e-17,-1.72424e-17,2.66616e-18,0.0,3
127,13.3991,2.60444,0.0336356,0,0,0,-1.88109e-17,-1.70229e-17,2.12473e-18,0.0,3
128,13.8819,2.60385,0.0324047,0,0,0,-1.88526e-17,-1.65496e-17,2.07203e-18,0.0,3
129,14.3645,2.60326,0.0310537,0,0,0,-1.90016e-17,-1.60972e-17,1.96951e-18,0.0,3
130,14.8468,2.60273,0.0293651,0,0,0,-1.94325e-17,-1.5699e-17,1.73586e-18,0.0,3
131,15.329,2.60219,0.0279863,0,0,0,-1.99706e-17,-1.5313e-17,1.5803e-18,0.0,3
132,15.8111,2.60167,0.0268856,0,0,0,-2.0607e-17,-1.4938e-17,1.49608e-18,0.0,3
133,16.2928,2.60054,0.0257044,0,0,0,-2.08582e-17,-1.43955e-17,1.52349e-18,0.0,3
134,16.7745,2.59924,0.0245385,0,0,0,-2.09959e-17,-1.38061e-17,1.58769e-18,0.0,3
135,17.2566,2.59793,0.0266726,0,0,0,-2.12629e-17,-1.33964e-17,1.88377e-18,0.0,3
136,17.7385,2.59675,0.0287712,0,0,0,-2.14718e-17,-1.30297e-17,2.13009e-18,0.0,3
137,18.2202,2.59588,0.0307808,0,0,0,-2.15157e-17,-1.27831e-17,2.23783e-18,0.0,3
138,18.7015,2.59494,0.0318834,0,0,0,-2.15458e-17,-1.22874e-17,2.42402e-18,0.0,3
139,19.1824,2.5939,0.0321019,0,0,0,-2.15619e-17,-1.15507e-17,2.6859e-18,0.0,3
140,19.6629,2.59286,0.0315472,0,0,0,-2.09564e-17,-1.12296e-17,2.85561e-18,0.0,3
141,20.1432,2.59179,0.0307418,0,0,0,-2.01497e-17,-1.1044e-17,2.99523e-18,0.0,3
142,20.6232,2.59127,0.0296656,0,0,0,-1.93952e-17,-1.11911e-17,3.02534e-18,0.0,3
143,21.103,2.59087,0.0282543,0,0,0,-1.86124e-17,-1.14039e-17,3.04981e-18,0.0,3
144,21.5823,2.59087,0.02583,0,0,0,-1.77415e-17,-1.18165e-17,3.05753e-18,0.0,3
145,22.0616,2.5903,0.0243194,0,0,0,-1.68731e-17,-1.20951e-17,2.93248e-18,0.0,3
146,22.5409,2.58916,0.0237321,0,0,0,-1.60075e-17,-1.2236e-17,2.67145e-18,0.0,3
147,23.0201,2.58785,0.0234991,0,0,0,-1.54518e-17,-1.2514e-17,2.31713e-18,0.0,3
148,23.4991,2.5865,0.02338,0,0,0,-1.50048e-17,-1.284e-17,1.92997e-18,0.0,3
149,23.9777,2.58516,0.0225213,0,0,0,-1.43849e-17,-1.36004e-17,1.72783e-18,0.0,3
150,24.4562,2.58395,0.0217844,0,0,0,-1.38924e-17,-1.43839e-17,1.47866e-18,0.0,3
151,24.9345,2.58311,0.0214854,0,0,0,-1.38226e-17,-1.52277e-17,1.06764e-18,0.0,3
152,25.4127,2.58253,0.0213941,0,0,0,-1.40274e-17,-1.57938e-17,7.5124e-19,0.0,3
153,25.8908,2.5822,0.0215188,0,0,0,-1.4529e-17,-1.60584e-17,5.37318e-19,0.0,3
154,26.3685,2.5815,0.0207909,0,0,0,-1.52853e-17,-1.6719e-17,1.48379e-19,0.0,3
155,26.8459,2.58065,0.0197341,0,0,0,-1.61373e-17,-1.75287e-17,-3.06671e-19,0.0,3
156,27.3226,2.5794,0.0160615,0,0,0,-1.67522e-17,-1.8064e-17,-5.3529e-19,0.0,3
157,27.799,2.57811,0.0122056,0,0,0,-1.73253e-17,-1.85578e-17,-7.58304e-19,0.0,3
158,28.2752,2.57684,0.00801247,0,0,0,-1.77751e-17,-1.89313e-17,-9.83302e-19,0.0,3
159,28.7515,2.57558,0.00540865,0,0,0,-1.83958e-17,-1.9342e-17,-1.14491e-18,0.0,3
160,29.228,2.57438,0.00462968,0,0,0,-1.92122e-17,-1.97953e-17,-1.23338e-18,0.0,3
161,29.7049,2.57354,0.00719441,0,0,0,-1.96807e-17,-2.00147e-17,-1.35007e-18,0.0,3
162,30.182,2.57283,0.0111099,0,0,0,-2.00077e-17,-2.01391e-17,-1.47805e-18,0.0,3
163,30.658,2.57137,0.0112883,0,0,0,-1.99434e-17,-2.03359e-17,-1.32257e-18,0.0,3
164,31.1338,2.56978,0.0108965,0,0,0,-1.99624e-17,-2.05507e-17,-1.20366e-18,0.0,3
165,31.609,2.56787,0.00891679,0,0,0,-2.03714e-17,-2.08251e-17,-1.27165e-18,0.0,3
166,32.0843,2.56629,0.00837824,0,0,0,-2.05981e-17,-2.09859e-17,-1.28693e-18,0.0,3
167,32.5598,2.56516,0.00958374,0,0,0,-2.06029e-17,-2.10086e-17,-1.23829e-18,0.0,3
168,33.0353,2.56495,0.0118732,0,0,0,-1.98796e-17,-2.06272e-17,-1.17807e-18,0.0,3
169,33.5107,2.56517,0.0146413,0,0,0,-1.88418e-17,-2.00711e-17,-1.11255e-18,0.0,3
170,33.9853,2.56492,0.014635,0,0,0,-1.83457e-17,-1.99214e-17,-1.0264e-18,0.0,3
171,34.4597,2.56462,0.0141599,0,0,0,-1.78051e-17,-1.98298e-17,-9.62588e-19,0.0,3
172,34.9336,2.56417,0.012373,0,0,0,-1.69434e-17,-1.98856e-17,-1.00016e-18,0.0,3
173,35.4074,2.56392,0.0108407,0,0,0,-1.62188e-17,-1.96816e-17,-9.62859e-19,0.0,3
174,35.8811,2.56387,0.00963342,0,0,0,-1.567e-17,-1.91444e-17,-8.30005e-19,0.0,3
175,36.355,2.56439,0.0110226,0,0,0,-1.5171e-17,-1.88441e-17,-8.7156e-19,0.0,3
176,36.829,2.56515,0.0136077,0,0,0,-1.46951e-17,-1.86539e-17,-9.93524e-19,0.0,3
177,37.3021,2.56483,0.0129211,0,0,0,-1.44583e-17,-1.84028e-17,-1.12762e-18,0.0,3
178,37.7751,2.56409,0.0118088,0,0,0,-1.42036e-17,-1.81713e-17,-1.23875e-18,0.0,3
179,38.2476,2.56191,0.00982982,0,0,0,-1.37801e-17,-1.80528e-17,-1.24004e-18,0.0,3
180,38.7196,2.55956,0.00635786,0,0,0,-1.34405e-17,-1.76141e-17,-1.31239e-18,0.0,3
181,39.1912,2.55703,0.000825164,0,0,0,-1.32148e-17,-1.67394e-17,-1.48107e-18,0.0,3
182,39.663,2.5549,-0.00147761,0,0,0,-1.31988e-17,-1.63248e-17,-1.57178e-18,0.0,3
183,40.1351,2.55299,-0.00219732,0,0,0,-1.32863e-17,-1.6137e-17,-1.62438e-18,0.0,3
184,40.6058,2.55181,-0.00871037,0,0,0,-1.34654e-17,-1.58458e-17,-1.63539e-18,0.0,3
185,41.0763,2.55076,-0.0162729,0,0,0,-1.36383e-17,-1.55576e-17,-1.66955e-18,0.0,3
186,41.5461,2.54997,-0.0264281,0,0,0,-1.37388e-17,-1.53287e-17,-1.84305e-18,0.0,3
187,42.016,2.54907,-0.0351517,0,0,0,-1.38706e-17,-1.51346e-17,-2.10394e-18,0.0,3
