,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
31,-34.0574,6.04583,-0.000401132,0.373451,-1.91361,0.388686,-0.00683468,0.00116905,-0.028438,226,2
32,-33.5535,6.04286,0.000558829,0.366027,-1.96339,0.391308,-0.00734014,0.00161456,-0.0291206,226,2
33,-33.0495,6.04021,0.00248154,0.35832,-2.01375,0.393696,-0.00784568,0.0020626,-0.0297889,226,2
34,-32.5453,6.03797,0.00560332,0.350264,-2.06485,0.395795,-0.00835133,0.00251382,-0.0304395,226,2
35,-32.0424,6.03582,0.00548935,0.343361,-2.11609,0.401107,-0.00884967,0.0029636,-0.0310633,226,2
36,-31.5401,6.03368,0.00392181,0.336974,-2.1674,0.407867,-0.00934471,0.00341272,-0.0316751,226,2
37,-31.0367,6.0307,0.00722732,0.329367,-2.22044,0.413531,-0.0098265,0.00384273,-0.0322489,226,2
38,-30.5334,6.02756,0.0105205,0.321593,-2.27366,0.418999,-0.0103033,0.00426602,-0.032812,226,2
39,-30.0309,6.02394,0.0121917,0.313439,-2.32709,0.423902,-0.0107611,0.00466473,-0.0333377,226,2
40,-29.5289,6.02028,0.0128015,0.304873,-2.3813,0.428712,-0.0112033,0.00504686,-0.033846,226,2
41,-29.0276,6.01654,0.0119747,0.295751,-2.43657,0.433397,-0.011624,0.00540648,-0.0343303,226,2
42,-28.5261,6.01309,0.0126752,0.285674,-2.49133,0.438608,-0.0120257,0.00573543,-0.0347929,226,2
43,-28.0245,6.00981,0.0141313,0.27513,-2.54584,0.444084,-0.0124182,0.00604926,-0.0352446,226,2
44,-27.5234,6.00689,0.0152812,0.26428,-2.60014,0.449201,-0.0127859,0.00631332,-0.0356668,226,2
45,-27.0223,6.00402,0.0165155,0.253553,-2.65457,0.454325,-0.0131439,0.00656296,-0.0360804,226,2
46,-26.5214,6.00119,0.0183557,0.243623,-2.70971,0.459638,-0.0134619,0.0067606,-0.0364637,226,2
47,-26.0207,5.99833,0.0201387,0.234032,-2.76497,0.465109,-0.0137513,0.00693064,-0.0368343,226,2
48,-25.5202,5.99546,0.0218333,0.224946,-2.8204,0.470812,-0.0139984,0.00705978,-0.0371861,226,2
49,-25.0202,5.99239,0.0231683,0.21542,-2.87471,0.47708,-0.0141867,0.0071421,-0.0375217,226,2
50,-24.5203,5.9892,0.0243095,0.205653,-2.92843,0.483655,-0.014343,0.007199,-0.0378483,226,2
51,-24.0211,5.98622,0.024271,0.193885,-2.9812,0.490065,-0.0144164,0.00718719,-0.0381499,226,2
52,-23.5221,5.98329,0.0240012,0.18201,-3.03369,0.496609,-0.0144674,0.00715534,-0.0384452,226,2
53,-23.0236,5.98056,0.0231654,0.170972,-3.08513,0.504109,-0.0144391,0.0070489,-0.0387194,226,2
54,-22.5249,5.97759,0.023596,0.160239,-3.13735,0.511625,-0.0143717,0.00690581,-0.0389867,226,2
55,-22.0258,5.97423,0.026079,0.149999,-3.19085,0.519168,-0.0142406,0.00670322,-0.0392426,226,2
56,-21.5275,5.97069,0.0270295,0.139039,-3.24387,0.526192,-0.0140342,0.0064332,-0.0394838,226,2
57,-21.0295,5.96702,0.0270661,0.127649,-3.29659,0.532908,-0.0137829,0.00612298,-0.0397162,226,2
58,-20.5315,5.96383,0.0284124,0.116775,-3.34804,0.538811,-0.0134171,0.00570409,-0.0399117,226,2
59,-20.0336,5.96074,0.0296645,0.106136,-3.39918,0.544771,-0.013019,0.0052538,-0.0400958,226,2
60,-19.5368,5.95782,0.0286841,0.0967341,-3.44932,0.552084,-0.0125037,0.00468533,-0.0402326,226,2
61,-19.04,5.95488,0.0280328,0.0874208,-3.49929,0.559631,-0.0119376,0.00406768,-0.040345,226,2
62,-18.5432,5.95191,0.0279654,0.0782679,-3.54895,0.56759,-0.0112814,0.0033624,-0.0404139,226,2
