"L0",,,,,,,,,,"L1",,,,,,,,,"L2",,,,,,,,,"L3",,,,,,,,,"L4",,,,,,,,,"L5",,,,,,,,,"L6",,,,,,,,,"L7",,,,,,,,,"L8",,,,,,,,,"L9",,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange"
10,-44.4532,12.4689,-0.0789472,0.513838,-0.63973,0.216986,-0.00157178,-0.000324091,-0.00438814,-44.5823,9.68475,-0.0767082,0.413357,-0.630714,0.23037,-0.000974677,-0.00116873,-0.00570944,-44.705,6.11144,-0.0502851,0.295118,-0.616243,0.247385,0.000410019,-0.00282967,-0.00708076,-44.6505,2.69809,-0.0385439,0.187902,-0.602675,0.263647,0.00247964,-0.00521561,-0.00807594,-44.4652,-0.759537,-0.0538318,0.0866795,-0.585438,0.282681,0.00532376,-0.00819743,-0.00882672,-44.5831,-4.16681,-0.0388477,-0.00977222,-0.540655,0.301418,0.0087222,-0.0115786,-0.00867947,-44.893,-6.69448,-0.0410144,-0.0816566,-0.492332,0.318345,0.0114329,-0.014035,-0.00773667,43.1048,-10.0907,-0.0556747,0.476853,-0.161167,0.236583,-0.00104956,-0.00124833,-0.00226344,-44.4854,-11.4886,-0.0525061,-0.199002,-0.407032,0.374608,0.0168058,-0.0183231,-0.00847335,-44.8019,-14.0986,-0.0526225,-0.274344,-0.316833,0.406877,0.0181841,-0.0192133,-0.00701079
11,-43.9436,12.4636,-0.080088,0.51201,-0.663178,0.219293,-0.00177812,-0.000231506,-0.00471634,-44.072,9.68029,-0.0752861,0.411859,-0.65465,0.23284,-0.00114311,-0.00109097,-0.00611731,-44.1949,6.10788,-0.0458342,0.294615,-0.640326,0.251072,0.000306443,-0.00278483,-0.00759538,-44.1397,2.69716,-0.0339316,0.188635,-0.626755,0.265969,0.00245522,-0.00522437,-0.0087145,-43.9601,-0.762557,-0.0594109,0.0887093,-0.609027,0.282917,0.00538133,-0.00825272,-0.00962642,-44.0761,-4.16331,-0.0418071,-0.0059272,-0.563803,0.303013,0.00886706,-0.0116847,-0.00972136,-44.3839,-6.69783,-0.0395977,-0.0757336,-0.514929,0.320171,0.01167,-0.0142306,-0.00903352,42.635,-10.0858,-0.0475907,0.478002,-0.172741,0.241554,-0.000596408,-0.0017977,-0.002525,-43.9739,-11.4936,-0.0497623,-0.187175,-0.429121,0.376491,0.0169546,-0.0184838,-0.0102997,-44.289,-14.1004,-0.0516657,-0.258026,-0.332485,0.413433,0.0183378,-0.0194074,-0.00927695
12,-43.4342,12.4582,-0.0805285,0.51008,-0.687368,0.221642,-0.00199267,-0.000130953,-0.00503991,-43.5619,9.67543,-0.0735301,0.410042,-0.678809,0.235033,-0.00131723,-0.00100851,-0.00652472,-43.6851,6.10459,-0.0416035,0.294018,-0.664663,0.253893,0.000196969,-0.00273431,-0.00810889,-43.6298,2.69618,-0.0312794,0.189462,-0.651018,0.268196,0.0024134,-0.00521414,-0.00934803,-43.4528,-0.764789,-0.0579374,0.090988,-0.632852,0.283537,0.00540862,-0.00827989,-0.010417,-43.5683,-4.16012,-0.0412482,-0.00159169,-0.588417,0.304363,0.00895361,-0.0117402,-0.0107405,-43.8749,-6.70063,-0.0380186,-0.0692475,-0.538708,0.322554,0.0118329,-0.0143578,-0.0102923,42.1645,-10.0815,-0.0427194,0.478639,-0.18403,0.247098,-9.54818e-05,-0.00239002,-0.00276521,-43.4627,-11.4985,-0.0475654,-0.175367,-0.452032,0.377687,0.0170521,-0.0185946,-0.0120849,-43.7768,-14.1017,-0.0520299,-0.241337,-0.355173,0.417994,0.0183471,-0.019472,-0.0113684
13,-42.9247,12.4529,-0.0807341,0.508117,-0.711804,0.224004,-0.00220997,-2.77386e-05,-0.00536193,-43.0519,9.67033,-0.0715665,0.408025,-0.703105,0.237055,-0.00149489,-0.000923126,-0.00693185,-43.1755,6.1016,-0.0375921,0.293334,-0.689245,0.255886,8.18306e-05,-0.00267834,-0.00862132,-43.1203,2.6952,-0.0292448,0.190317,-0.67535,0.270396,0.00236566,-0.00519755,-0.00997993,-42.944,-0.767133,-0.0511793,0.0933239,-0.657648,0.284673,0.0054002,-0.00826663,-0.0112151,-43.0604,-4.15711,-0.0399893,0.00302507,-0.613372,0.30564,0.00899439,-0.0117415,-0.0117626,-43.3661,-6.70318,-0.0363695,-0.0625181,-0.562998,0.325176,0.0119637,-0.0144554,-0.0115347,41.6935,-10.0779,-0.0404777,0.478857,-0.195084,0.253109,0.000444402,-0.00301737,-0.00298789,-42.9523,-11.5028,-0.0463994,-0.163926,-0.479428,0.378896,0.0168483,-0.0183858,-0.013821,-43.265,-14.1029,-0.0527064,-0.224908,-0.383466,0.422241,0.0181701,-0.0193404,-0.0134205
14,-42.4142,12.447,-0.0765383,0.506074,-0.736712,0.226986,-0.0024463,9.35159e-05,-0.00569532,-42.5414,9.66482,-0.0668215,0.406605,-0.727884,0.240248,-0.00169477,-0.000819626,-0.00735118,-42.6665,6.09872,-0.0342398,0.292911,-0.713923,0.257594,-6.06898e-05,-0.00260204,-0.00914619,-42.6114,2.69436,-0.0277522,0.190972,-0.700876,0.272319,0.00226923,-0.00513567,-0.0106286,-42.4338,-0.769576,-0.0396041,0.0957118,-0.683333,0.286282,0.0053592,-0.00821649,-0.0120201,-42.5525,-4.15431,-0.037816,0.00801448,-0.638769,0.306824,0.00897582,-0.0116723,-0.0127888,-42.8569,-6.70488,-0.0325697,-0.0566096,-0.587986,0.327142,0.0119471,-0.0143852,-0.0127761,41.2217,-10.0735,-0.0409461,0.478688,-0.205791,0.258633,0.00110504,-0.00374913,-0.00316089,-42.442,-11.5068,-0.0450584,-0.152658,-0.507878,0.379791,0.0165697,-0.0181005,-0.0155266,-42.7535,-14.104,-0.0537223,-0.20876,-0.417924,0.426154,0.017788,-0.0189929,-0.0154293
15,-41.9038,12.441,-0.0722978,0.503974,-0.761686,0.23018,-0.00268942,0.00021934,-0.00602961,-42.0308,9.65922,-0.06164,0.40527,-0.752815,0.243634,-0.00190165,-0.000711022,-0.00777282,-42.1577,6.09586,-0.0311104,0.292574,-0.738631,0.259214,-0.000212103,-0.00251914,-0.00967504,-42.1024,2.69359,-0.0257918,0.191525,-0.726749,0.273834,0.00216004,-0.00506244,-0.0112781,-41.9243,-0.771293,-0.0291349,0.0982359,-0.710341,0.288426,0.00526365,-0.00810973,-0.0128232,-42.0443,-4.15223,-0.0338611,0.0136938,-0.66543,0.308495,0.00888547,-0.0115227,-0.0137998,-42.3478,-6.70651,-0.0283702,-0.0509046,-0.613449,0.328771,0.011893,-0.0142734,-0.0140089,40.7497,-10.069,-0.0421291,0.478398,-0.216398,0.264048,0.00180249,-0.00451264,-0.00331597,-41.9317,-11.5101,-0.0429311,-0.141982,-0.539532,0.379578,0.0160608,-0.017581,-0.0171288,-42.242,-14.1054,-0.0540058,-0.196849,-0.454874,0.423541,0.0171244,-0.018365,-0.0172981
16,-41.3937,12.4352,-0.0679142,0.501707,-0.786855,0.23401,-0.00295285,0.000358847,-0.00636664,-41.5206,9.65354,-0.0564206,0.403877,-0.778351,0.247104,-0.00213595,-0.000584666,-0.00819755,-41.6495,6.09343,-0.0285832,0.291607,-0.764112,0.259858,-0.00040142,-0.00241039,-0.0102084,-41.5933,2.69298,-0.0224426,0.191774,-0.753633,0.274136,0.00201361,-0.00495598,-0.0119304,-41.415,-0.772766,-0.0190133,0.100802,-0.737764,0.290736,0.00515097,-0.00798521,-0.0136256,-41.5359,-4.15048,-0.0290442,0.0197085,-0.692705,0.31041,0.00876083,-0.0113348,-0.0148031,-41.8385,-6.70805,-0.0229899,-0.045871,-0.640812,0.329101,0.0117142,-0.0140243,-0.015204,40.2772,-10.065,-0.0438691,0.477663,-0.226749,0.269862,0.00263663,-0.00539305,-0.0033615,-41.4215,-11.5132,-0.0405935,-0.132613,-0.571894,0.377818,0.0154356,-0.0169403,-0.0186305,-41.7306,-14.107,-0.0540261,-0.186487,-0.492736,0.418538,0.0163581,-0.0176346,-0.0191161
17,-40.884,12.4296,-0.0640757,0.499429,-0.81213,0.238177,-0.00323242,0.000507908,-0.00670272,-41.011,9.64776,-0.0525956,0.402204,-0.804009,0.250296,-0.00238078,-0.000451195,-0.00862025,-41.1414,6.09107,-0.025914,0.290389,-0.789821,0.260565,-0.000597689,-0.00229518,-0.0107398,-41.0841,2.69251,-0.018467,0.19191,-0.781081,0.274562,0.00184795,-0.00482785,-0.0125772,-40.9081,-0.774288,-0.0147862,0.102684,-0.766445,0.291931,0.00497632,-0.00779288,-0.0144093,-41.028,-4.14925,-0.0243981,0.0243529,-0.721752,0.310439,0.00854923,-0.0110501,-0.015764,-41.3299,-6.70962,-0.0189944,-0.0404738,-0.669406,0.328795,0.011478,-0.0137108,-0.0163632,39.8048,-10.061,-0.0452589,0.476913,-0.237334,0.275259,0.00350239,-0.00630324,-0.00336138,-40.9114,-11.5162,-0.038029,-0.124715,-0.605048,0.374316,0.014681,-0.0161645,-0.0200202,-41.2191,-14.1095,-0.0522545,-0.178194,-0.533734,0.411494,0.0152694,-0.0165902,-0.02063
18,-40.3746,12.4242,-0.0607808,0.497139,-0.837511,0.242682,-0.00352812,0.000666521,-0.00703787,-40.5025,9.6418,-0.051213,0.400041,-0.829882,0.253003,-0.00264406,-0.000305259,-0.00903939,-40.6335,6.08889,-0.0228011,0.288386,-0.81624,0.261451,-0.000815325,-0.00216003,-0.0112656,-40.575,2.69214,-0.0138678,0.191931,-0.809091,0.275112,0.00166317,-0.00467817,-0.0132186,-40.4014,-0.775862,-0.0109129,0.104502,-0.795127,0.292859,0.00478951,-0.0075852,-0.0151863,-40.5203,-4.14778,-0.0201246,0.0286382,-0.75113,0.310177,0.00831637,-0.0107427,-0.0167112,-40.8222,-6.71125,-0.0168385,-0.0345932,-0.699633,0.327646,0.0111656,-0.0133117,-0.0174747,39.3322,-10.0571,-0.0457788,0.476121,-0.248493,0.279646,0.00444617,-0.0072869,-0.00324995,-40.4015,-11.5197,-0.0348595,-0.118642,-0.640765,0.371397,0.013796,-0.0152537,-0.0212134,-40.7075,-14.112,-0.0501993,-0.170788,-0.575429,0.404311,0.014124,-0.0154901,-0.0220413
19,-39.8658,12.4189,-0.0581459,0.494543,-0.863315,0.246386,-0.00383991,0.000837475,-0.00737296,-39.9943,9.63602,-0.0500346,0.397363,-0.855914,0.255145,-0.00291978,-0.000149568,-0.00945732,-40.1258,6.08652,-0.0199801,0.28638,-0.843277,0.263232,-0.00104305,-0.00201322,-0.0117886,-40.0672,2.6918,-0.0123956,0.191851,-0.837004,0.276872,0.00145739,-0.00449742,-0.0138492,-39.8955,-0.777603,-0.00817175,0.106118,-0.823808,0.292938,0.0045641,-0.00732876,-0.0159421,-40.0136,-4.1446,-0.0178194,0.0316866,-0.781435,0.309228,0.00801117,-0.0103599,-0.0176085,-40.315,-6.71331,-0.0155065,-0.0283822,-0.730411,0.326482,0.0107724,-0.0128303,-0.0185145,38.8596,-10.0532,-0.0455066,0.474866,-0.259607,0.284184,0.00543675,-0.00830574,-0.00303721,-39.8916,-11.5233,-0.031441,-0.113277,-0.677468,0.3687,0.0128608,-0.014291,-0.0223317,-40.196,-14.1145,-0.0473329,-0.166025,-0.619141,0.3968,0.0128165,-0.0142309,-0.0231469
20,-39.3572,12.4135,-0.0557287,0.491845,-0.88926,0.249824,-0.00415709,0.00101255,-0.007708,-39.4863,9.63034,-0.048985,0.394358,-0.882048,0.256931,-0.00320337,1.22953e-05,-0.0098745,-39.6185,6.0839,-0.0174635,0.284368,-0.870959,0.265945,-0.00128128,-0.00185425,-0.0123087,-39.5599,2.69147,-0.0119863,0.191737,-0.864887,0.279044,0.00124451,-0.00430625,-0.0144761,-39.3897,-0.779505,-0.0055765,0.108111,-0.852265,0.29363,0.00431812,-0.0070461,-0.0166813,-39.5072,-4.14091,-0.0159701,0.0348037,-0.812019,0.308269,0.00767738,-0.00994912,-0.0184769,-39.8081,-6.71558,-0.0145734,-0.0220102,-0.761455,0.32531,0.0103401,-0.0123089,-0.0195195,38.387,-10.0492,-0.0445468,0.473203,-0.270683,0.288858,0.00646767,-0.00935485,-0.0027368,-39.3813,-11.528,-0.0253782,-0.110381,-0.71717,0.362535,0.0118223,-0.0132289,-0.0231577,-39.6844,-14.1165,-0.0435472,-0.163376,-0.663427,0.387917,0.0114762,-0.0129339,-0.0240287
21,-38.8493,12.4081,-0.0542439,0.489214,-0.916236,0.252239,-0.00448669,0.00120205,-0.00803894,-38.9782,9.62443,-0.0465918,0.391487,-0.909743,0.258108,-0.00350145,0.000187328,-0.0102893,-39.1116,6.08094,-0.0154759,0.28241,-0.899539,0.268606,-0.00153589,-0.00167898,-0.0128255,-39.054,2.69059,-0.0144622,0.191637,-0.892445,0.282143,0.00100345,-0.00407752,-0.0150881,-38.8843,-0.781584,-0.00313888,0.110512,-0.880476,0.29499,0.00404972,-0.00673489,-0.0174024,-39.0013,-4.13647,-0.0148121,0.0380349,-0.843025,0.307291,0.00730053,-0.00949633,-0.0193021,-39.3021,-6.71862,-0.0150915,-0.0168959,-0.793404,0.32322,0.00981531,-0.0117052,-0.0204101,37.9146,-10.0449,-0.040593,0.470518,-0.282013,0.294278,0.00753595,-0.0104214,-0.00226429,-38.8713,-11.5328,-0.020031,-0.1075,-0.75727,0.356284,0.0107783,-0.0121583,-0.0239077,-39.1727,-14.1182,-0.0388489,-0.16282,-0.708272,0.377676,0.0101035,-0.0115994,-0.0246884
