,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
71,-13.9315,-0.897608,0.0484521,0.0806888,-1.48202,0.255196,0.00198321,-0.00447186,-0.0113128,92,4
72,-13.4385,-0.89968,0.048468,0.0813469,-1.49435,0.256179,0.00229966,-0.004803,-0.0108573,92,4
73,-12.9456,-0.901902,0.0490116,0.0824122,-1.50589,0.256504,0.00260808,-0.00513057,-0.0103667,92,4
74,-12.4528,-0.904207,0.0498416,0.0836991,-1.51702,0.256471,0.00291216,-0.00545622,-0.00985721,92,4
75,-11.9602,-0.906657,0.0511706,0.0852076,-1.52754,0.256608,0.00320186,-0.00577034,-0.0092989,92,4
76,-11.4677,-0.90913,0.0522818,0.0868242,-1.53769,0.256916,0.00348757,-0.00608066,-0.00872797,92,4
77,-10.9761,-0.911624,0.0514416,0.0889969,-1.5459,0.25825,0.00375813,-0.0063745,-0.00811264,92,4
78,-10.4847,-0.913994,0.0504067,0.0912185,-1.55372,0.259697,0.00402066,-0.00665801,-0.00748092,92,4
79,-9.99359,-0.916134,0.0490353,0.0935247,-1.56087,0.26134,0.00426915,-0.00692349,-0.00682065,92,4
80,-9.50247,-0.918277,0.0486808,0.0957786,-1.56735,0.262383,0.00449759,-0.0071676,-0.0061352,92,4
81,-9.01131,-0.920411,0.0489943,0.097998,-1.57342,0.263032,0.00471286,-0.00739767,-0.00543319,92,4
82,-8.52059,-0.922901,0.0489108,0.100416,-1.57838,0.262714,0.00489294,-0.00759118,-0.00469934,92,4
83,-8.02995,-0.925451,0.0488394,0.102882,-1.58305,0.26226,0.00506285,-0.00777379,-0.00395706,92,4
84,-7.5394,-0.927929,0.0497541,0.105467,-1.58665,0.262319,0.00519213,-0.00791048,-0.00318708,92,4
85,-7.04899,-0.930321,0.0506206,0.108128,-1.5898,0.262373,0.00530497,-0.00802997,-0.00241118,92,4
86,-6.55887,-0.932531,0.0513872,0.110954,-1.592,0.262419,0.00538294,-0.00811295,-0.00162275,92,4
87,-6.06913,-0.934772,0.0514757,0.113744,-1.59303,0.262432,0.00542916,-0.00816416,-0.000830788,92,4
88,-5.57971,-0.937037,0.0510296,0.116504,-1.59314,0.262418,0.00545036,-0.00819034,-3.60485e-05,92,4
89,-5.09053,-0.939264,0.0508058,0.119263,-1.59217,0.262215,0.00542883,-0.00817423,0.00075339,92,4
90,-4.60141,-0.941474,0.0506627,0.122021,-1.59087,0.261948,0.00539453,-0.00814555,0.00154136,92,4
91,-4.11251,-0.943842,0.0511487,0.124727,-1.58839,0.261302,0.00530954,-0.00806806,0.00232463,92,4
92,-3.62372,-0.946281,0.0515713,0.127412,-1.5856,0.260703,0.00521176,-0.00797584,0.00310584,92,4
93,-3.13525,-0.948903,0.0518286,0.130042,-1.58199,0.260229,0.00508048,-0.00784503,0.00388157,92,4
94,-2.64703,-0.951396,0.051876,0.132779,-1.57773,0.259387,0.00492746,-0.00769011,0.00464257,92,4
95,-2.15904,-0.953766,0.0517262,0.135618,-1.57288,0.258199,0.004754,-0.00751251,0.00538973,92,4
96,-1.67172,-0.956271,0.0500669,0.138371,-1.56688,0.25797,0.00454902,-0.00730261,0.00610513,92,4
97,-1.18462,-0.958818,0.0479164,0.141094,-1.5605,0.258055,0.00433375,-0.00708218,0.00681019,92,4
98,-0.697392,-0.961525,0.0477387,0.143315,-1.5531,0.258088,0.0040862,-0.00682794,0.00746907,92,4
99,-0.210248,-0.96427,0.0475502,0.145369,-1.54539,0.257923,0.00383356,-0.00656754,0.00811679,92,4
100,0.276578,-0.967124,0.0472746,0.146884,-1.53667,0.257108,0.0035649,-0.00628762,0.00872851,92,4
101,0.763389,-0.969886,0.0476352,0.148289,-1.5273,0.256211,0.00329061,-0.0059998,0.00931587,92,4
102,1.25019,-0.972529,0.0487087,0.14957,-1.5172,0.255222,0.00300999,-0.00570311,0.00987589,92,4
103,1.73661,-0.975117,0.0493665,0.150669,-1.50612,0.255005,0.00272274,-0.00539896,0.0103964,92,4
104,2.22289,-0.977682,0.0498537,0.151693,-1.49464,0.255103,0.00243275,-0.00509174,0.0109009,92,4
105,2.70804,-0.979318,0.0471666,0.152433,-1.48107,0.254645,0.00213377,-0.00478076,0.0113493,92,4
106,3.19313,-0.981055,0.0445694,0.153179,-1.46739,0.254124,0.00183385,-0.00446974,0.0117842,92,4
107,3.67818,-0.983439,0.0431045,0.154022,-1.45373,0.253459,0.0015321,-0.00415956,0.0121735,92,4
108,4.1633,-0.985483,0.0424781,0.154868,-1.4399,0.252378,0.00123304,-0.00385151,0.0125416,92,4
109,4.64848,-0.987073,0.0429781,0.155721,-1.42581,0.250741,0.000937608,-0.00354635,0.0128812,92,4
110,5.1336,-0.989237,0.0442843,0.156093,-1.41202,0.248995,0.000650112,-0.00324633,0.0131893,92,4
111,5.61869,-0.991711,0.0459962,0.156223,-1.39839,0.247193,0.000366598,-0.00294888,0.0134816,92,4
112,6.10264,-0.994138,0.0443328,0.156003,-1.38331,0.246017,0.000103467,-0.00266255,0.0137321,92,4
113,6.58647,-0.996614,0.0425936,0.155708,-1.36796,0.244949,-0.000154327,-0.00237996,0.0139724,92,4
114,7.07039,-0.999415,0.0425043,0.155192,-1.35182,0.244141,-0.000393055,-0.00211277,0.0141779,92,4
115,7.55422,-1.00242,0.0426682,0.154618,-1.33552,0.243172,-0.000625625,-0.00185382,0.0143704,92,4
116,8.03791,-1.00576,0.043236,0.153953,-1.31896,0.241946,-0.000848263,-0.00160814,0.0145417,92,4
117,8.52108,-1.00875,0.0424745,0.153197,-1.30227,0.240711,-0.00105998,-0.00137808,0.0146916,92,4
118,9.00391,-1.01153,0.0409037,0.152387,-1.28549,0.23947,-0.00126505,-0.00115751,0.0148284,92,4
119,9.48582,-1.0139,0.0366896,0.151326,-1.26867,0.238689,-0.00145288,-0.000964507,0.0149454,92,4
120,9.96761,-1.0162,0.0322935,0.150176,-1.25171,0.238051,-0.00163462,-0.000778984,0.015058,92,4
121,10.4496,-1.0183,0.0301352,0.1486,-1.23364,0.238027,-0.00178656,-0.000620843,0.0151599,92,4
122,10.9319,-1.02048,0.0296686,0.146914,-1.21538,0.237777,-0.0019237,-0.000473854,0.0152562,92,4
123,11.4146,-1.02278,0.032509,0.145016,-1.19676,0.237087,-0.00203195,-0.000348652,0.0153412,92,4
124,11.8971,-1.02498,0.0349217,0.143278,-1.17829,0.236551,-0.00211795,-0.000240863,0.0154127,92,4
125,12.3793,-1.02709,0.0370213,0.141657,-1.15994,0.236128,-0.00218766,-0.000145805,0.0154743,92,4
126,12.861,-1.02904,0.0380137,0.140547,-1.1419,0.235516,-0.00223127,-7.71534e-05,0.0155149,92,4
127,13.3426,-1.03099,0.0386703,0.13954,-1.12392,0.234869,-0.00226718,-1.62098e-05,0.0155498,92,4
128,13.8234,-1.03331,0.0378447,0.138345,-1.10588,0.234335,-0.00227211,1.44801e-05,0.0155677,92,4
129,14.3042,-1.03572,0.0371595,0.137008,-1.08774,0.233912,-0.00226565,3.58975e-05,0.0155818,92,4
130,14.7848,-1.03835,0.0368112,0.135334,-1.06939,0.233759,-0.00223194,3.50954e-05,0.0155866,92,4
131,15.2651,-1.0411,0.0362245,0.133318,-1.05056,0.233711,-0.00217841,1.82873e-05,0.0155855,92,4
132,15.7452,-1.04401,0.0354304,0.131002,-1.03132,0.233755,-0.00210751,-1.25255e-05,0.0155794,92,4
133,16.2251,-1.04688,0.0345169,0.128801,-1.01122,0.233522,-0.0020182,-6.43716e-05,0.015561,92,4
134,16.7048,-1.04974,0.0335727,0.126643,-0.990863,0.233205,-0.00192329,-0.000122699,0.0155388,92,4
135,17.1843,-1.05231,0.0330026,0.12516,-0.970352,0.232778,-0.00181425,-0.000205759,0.0154967,92,4
136,17.6636,-1.05497,0.0320268,0.123859,-0.949992,0.232532,-0.00170201,-0.000294495,0.0154495,92,4
137,18.1423,-1.05793,0.0298375,0.123104,-0.930088,0.232832,-0.00158022,-0.000400227,0.0153868,92,4
138,18.6212,-1.06086,0.0291227,0.122602,-0.910456,0.233183,-0.00145227,-0.000516195,0.0153149,92,4
