,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
0,-49.5713,12.5244,-0.0957713,0.677707,-0.535541,0.218384,-9.16976e-05,-0.00113503,-0.00176074,183,0
1,-49.059,12.5184,-0.096109,0.676231,-0.563555,0.220123,-0.0002183,-0.0011071,-0.00211006,183,0
2,-48.5477,12.5123,-0.0980864,0.674586,-0.592,0.221641,-0.000370495,-0.00105813,-0.00248015,183,0
3,-48.0358,12.5065,-0.0979643,0.673188,-0.620817,0.224048,-0.000528924,-0.00100115,-0.0028604,183,0
4,-47.5234,12.5011,-0.0957555,0.672035,-0.650002,0.227338,-0.00069355,-0.00093622,-0.00325077,183,0
5,-47.0107,12.4958,-0.0916794,0.67071,-0.679525,0.230898,-0.000873117,-0.000862393,-0.0036512,183,0
6,-46.4978,12.4906,-0.0869865,0.669327,-0.70916,0.234548,-0.00105767,-0.000785604,-0.00405495,183,0
7,-45.9853,12.4852,-0.0818077,0.667624,-0.738891,0.238498,-0.00126408,-0.000697404,-0.00446992,183,0
8,-45.4733,12.4797,-0.0779962,0.665775,-0.768966,0.242176,-0.0014763,-0.000605202,-0.00488815,183,0
9,-44.9631,12.4743,-0.0782491,0.663497,-0.800068,0.245049,-0.00170583,-0.000501081,-0.00531618,183,0
10,-44.4532,12.4689,-0.0789472,0.661089,-0.831415,0.24788,-0.00195221,-0.000387859,-0.00574894,183,0
11,-43.9436,12.4636,-0.080088,0.658552,-0.863005,0.250668,-0.00221538,-0.000265567,-0.00618641,183,0
12,-43.4342,12.4582,-0.0805285,0.655864,-0.895563,0.25346,-0.00249093,-0.000134204,-0.00661618,183,0
13,-42.9247,12.4529,-0.0807341,0.653127,-0.928442,0.256254,-0.0027706,1.92993e-07,-0.00704338,183,0
14,-42.4142,12.447,-0.0765383,0.650246,-0.96211,0.260591,-0.00307337,0.000159615,-0.00748404,183,0
15,-41.9038,12.441,-0.0722978,0.647279,-0.995831,0.265112,-0.00338447,0.000324966,-0.00792602,183,0
16,-41.3937,12.4352,-0.0679142,0.644056,-1.02971,0.270188,-0.00372056,0.000508064,-0.00837207,183,0
17,-40.884,12.4296,-0.0640757,0.640697,-1.06373,0.275619,-0.00407856,0.000702844,-0.0088175,183,0
18,-40.3746,12.4242,-0.0607808,0.637204,-1.09789,0.281405,-0.00445845,0.000909302,-0.00926231,183,0
19,-39.8658,12.4189,-0.0581459,0.633375,-1.13255,0.286518,-0.00486171,0.00113244,-0.00970605,183,0
20,-39.3572,12.4135,-0.0557287,0.629434,-1.16739,0.291408,-0.00527278,0.00136114,-0.0101494,183,0
21,-38.8493,12.4081,-0.0542439,0.625771,-1.20342,0.295759,-0.00569918,0.00161159,-0.0105872,183,0
22,-38.3415,12.4027,-0.0525425,0.621808,-1.23965,0.300019,-0.00613075,0.00186602,-0.0110218,183,0
23,-37.8337,12.3973,-0.0501839,0.616943,-1.27642,0.304005,-0.00657783,0.00213234,-0.0114468,183,0
24,-37.326,12.3919,-0.047315,0.611531,-1.31346,0.307652,-0.00703788,0.00240562,-0.0118643,183,0
25,-36.8183,12.3867,-0.0439337,0.605568,-1.35075,0.31096,-0.00751093,0.00268587,-0.0122742,183,0
26,-36.3109,12.3812,-0.0403972,0.59934,-1.38818,0.315129,-0.00800185,0.00297404,-0.012673,183,0
27,-35.8036,12.3756,-0.0368103,0.593022,-1.42565,0.319586,-0.00849877,0.00326488,-0.013068,183,0
28,-35.2979,12.3697,-0.0369033,0.586615,-1.46436,0.323955,-0.00900442,0.00356602,-0.0134582,183,0
29,-34.792,12.3638,-0.0361414,0.58001,-1.50322,0.328213,-0.00950948,0.00386966,-0.0138476,183,0
30,-34.2857,12.3579,-0.0327838,0.572808,-1.54254,0.332137,-0.0100126,0.00418079,-0.0142344,183,0
31,-33.7793,12.3521,-0.0288641,0.565063,-1.5819,0.335944,-0.0105157,0.00449428,-0.0146149,183,0
32,-33.273,12.3463,-0.0243813,0.556772,-1.62129,0.339634,-0.0110188,0.00481012,-0.014989,183,0
33,-32.7672,12.3407,-0.020749,0.54844,-1.66117,0.344104,-0.0115295,0.00512551,-0.0153493,183,0
34,-32.2617,12.3352,-0.0174033,0.540094,-1.70121,0.348836,-0.0120428,0.00544075,-0.0157048,183,0
35,-31.758,12.3298,-0.0187913,0.532109,-1.74151,0.356457,-0.0125607,0.00575795,-0.0160515,183,0
36,-31.2544,12.3245,-0.0199194,0.52392,-1.78183,0.364006,-0.0130775,0.0060765,-0.0163979,183,0
37,-30.7508,12.3194,-0.0202284,0.515108,-1.82222,0.371313,-0.0135904,0.00639915,-0.0167435,183,0
38,-30.2473,12.3143,-0.0199921,0.50584,-1.86254,0.378307,-0.0141064,0.00672354,-0.0170877,183,0
39,-29.7437,12.3092,-0.0192068,0.496114,-1.90281,0.384987,-0.0146256,0.00704968,-0.0174304,183,0
40,-29.2406,12.3041,-0.0185668,0.486129,-1.94341,0.391368,-0.0151445,0.00737642,-0.0177654,183,0
41,-28.7375,12.299,-0.0179756,0.476055,-1.98413,0.397648,-0.0156635,0.00770335,-0.0180977,183,0
42,-28.2344,12.2933,-0.0158345,0.466752,-2.02564,0.403924,-0.0161618,0.00803374,-0.0184156,183,0
43,-27.7314,12.2877,-0.0137754,0.457308,-2.06712,0.410576,-0.0166543,0.00836394,-0.0187315,183,0
44,-27.2288,12.2822,-0.0119845,0.447432,-2.10854,0.418379,-0.0171292,0.00869354,-0.0190419,183,0
45,-26.7265,12.2767,-0.0104699,0.436846,-2.14979,0.426563,-0.017604,0.00902068,-0.0193519,183,0
46,-26.2245,12.2713,-0.00923613,0.425539,-2.19088,0.435131,-0.0180789,0.00934534,-0.0196618,183,0
47,-25.7228,12.2659,-0.00808223,0.413087,-2.2326,0.442764,-0.0185552,0.00965637,-0.0199702,183,0
48,-25.2212,12.2604,-0.00695603,0.400245,-2.27454,0.450079,-0.019032,0.00996281,-0.0202781,183,0
49,-24.7205,12.2543,-0.00748662,0.387112,-2.31795,0.458203,-0.0194834,0.0102477,-0.020579,183,0
50,-24.2198,12.2483,-0.00743941,0.373958,-2.36116,0.466236,-0.0199249,0.0105257,-0.0208815,183,0
51,-23.7188,12.2427,-0.00560605,0.360749,-2.40376,0.473982,-0.0203363,0.0107831,-0.0211889,183,0
52,-23.2179,12.2372,-0.00327614,0.34748,-2.44607,0.481991,-0.0207244,0.0110221,-0.0215083,183,0
53,-22.717,12.232,-0.000442392,0.334153,-2.48809,0.49027,-0.0210888,0.0112425,-0.0218399,183,0
54,-22.2166,12.2265,0.00183152,0.32078,-2.53019,0.499193,-0.0214147,0.0114254,-0.0221979,183,0
55,-21.7163,12.2209,0.00391566,0.307392,-2.57232,0.508335,-0.0217274,0.0115956,-0.0225647,183,0
56,-21.2166,12.2152,0.00556011,0.294036,-2.61439,0.517994,-0.021979,0.0117032,-0.0229777,183,0
57,-20.717,12.2095,0.00708882,0.280688,-2.65655,0.527596,-0.0222083,0.011793,-0.0234042,183,0
58,-20.2178,12.204,0.00826519,0.267359,-2.69896,0.537014,-0.0223699,0.0118285,-0.0238715,183,0
59,-19.7193,12.1987,0.00798704,0.253645,-2.74159,0.546632,-0.0224805,0.0118201,-0.0243673,183,0
60,-19.2213,12.1935,0.00622558,0.239537,-2.78445,0.556452,-0.0225391,0.0117671,-0.0248921,183,0
61,-18.7233,12.1883,0.00585346,0.224665,-2.82692,0.565331,-0.0225056,0.0116249,-0.0254589,183,0
62,-18.2252,12.1832,0.00595626,0.209531,-2.86927,0.57389,-0.0224407,0.0114524,-0.0260401,183,0
63,-17.7275,12.1778,0.00619273,0.194167,-2.91003,0.583841,-0.0222036,0.0111332,-0.0266774,183,0
64,-17.2298,12.1724,0.00679366,0.179171,-2.95136,0.594212,-0.0219107,0.0107669,-0.0273251,183,0
65,-16.732,12.1668,0.0085219,0.165314,-2.99445,0.605855,-0.0214478,0.0102574,-0.0280041,183,0
66,-16.2345,12.1611,0.01008,0.151655,-3.03792,0.617694,-0.0208582,0.00962996,-0.0286883,183,0
67,-15.7373,12.1553,0.0114635,0.138197,-3.08177,0.629733,-0.020139,0.00888203,-0.0293781,183,0
68,-15.2403,12.1498,0.0129996,0.125101,-3.12647,0.641505,-0.0192017,0.00791838,-0.0300446,183,0
69,-14.7433,12.1443,0.0145872,0.112127,-3.17148,0.653186,-0.0181894,0.00688067,-0.0307033,183,0
70,-14.2467,12.1391,0.0165365,0.0987716,-3.2157,0.664151,-0.0168292,0.00552224,-0.0312534,183,0
71,-13.7502,12.1338,0.0182413,0.0857256,-3.26016,0.675239,-0.0153757,0.0040785,-0.031747,183,0
72,-13.2543,12.1282,0.0191829,0.0736534,-3.30535,0.686719,-0.0136395,0.00237602,-0.0320668,183,0
73,-12.7588,12.1226,0.0193046,0.0620622,-3.35051,0.698659,-0.0117288,0.000510683,-0.0322174,183,0
74,-12.2637,12.1168,0.0185858,0.0509652,-3.39563,0.711071,-0.00963922,-0.00152171,-0.0321945,183,0
75,-11.7686,12.1111,0.0190095,0.042095,-3.43898,0.724529,-0.00734706,-0.00375382,-0.0318429,183,0
76,-11.2734,12.1055,0.0198266,0.0339919,-3.48173,0.738349,-0.00498491,-0.00605488,-0.0313779,183,0
77,-10.7789,12.1003,0.019875,0.0298743,-3.52202,0.750589,-0.00248052,-0.00849679,-0.0303815,183,0
78,-10.2845,12.0951,0.0198885,0.0268334,-3.56175,0.761868,2.08719e-05,-0.0109454,-0.0292337,183,0
79,-9.79035,12.0897,0.0198072,0.0270639,-3.59981,0.770186,0.00250949,-0.0134117,-0.0276251,183,0
80,-9.29652,12.0843,0.0193839,0.0286957,-3.63665,0.778368,0.00491658,-0.0158088,-0.0257007,183,0
81,-8.80299,12.0786,0.0186081,0.0317699,-3.67225,0.786409,0.00723982,-0.0181346,-0.0234514,183,0
82,-8.30975,12.073,0.0177675,0.0379841,-3.70439,0.794735,0.00933154,-0.0202232,-0.0207733,183,0
83,-7.81662,12.0673,0.016904,0.0452857,-3.73533,0.803163,0.0113432,-0.0222297,-0.0179466,183,0
84,-7.32378,12.0621,0.0163744,0.0564357,-3.75933,0.807431,0.012886,-0.0237726,-0.0146562,183,0
85,-6.83096,12.0569,0.0161003,0.0680869,-3.78033,0.811447,0.0142835,-0.025169,-0.0112793,183,0
86,-6.33822,12.0516,0.0166153,0.0812121,-3.7921,0.814769,0.0152373,-0.0261179,-0.00764302,183,0
87,-5.84578,12.0463,0.016725,0.0952609,-3.79883,0.816777,0.015863,-0.026739,-0.0039223,183,0
88,-5.35364,12.041,0.0164155,0.110262,-3.80036,0.817427,0.0161501,-0.0270219,-0.00011428,183,0
89,-4.86193,12.0354,0.0155729,0.125203,-3.79512,0.815419,0.0159052,-0.0267948,0.00368411,183,0
90,-4.37036,12.0298,0.0145428,0.140124,-3.78753,0.812487,0.0154751,-0.0263902,0.00747939,183,0
91,-3.87921,12.0239,0.0133457,0.152723,-3.77042,0.805581,0.0143537,-0.025329,0.0110719,183,0
92,-3.38799,12.0182,0.0128356,0.164192,-3.75074,0.798335,0.0130841,-0.0241263,0.0145736,183,0
93,-2.89648,12.0129,0.0144886,0.172175,-3.72325,0.79013,0.0113676,-0.0224965,0.0177947,183,0
94,-2.40514,12.0077,0.016224,0.17911,-3.69213,0.781411,0.00944637,-0.020651,0.020767,183,0
95,-1.91397,12.0023,0.0180448,0.18496,-3.65727,0.772161,0.00731299,-0.018582,0.0234817,183,0
96,-1.42313,11.9969,0.0197339,0.187656,-3.62052,0.762058,0.00499097,-0.016309,0.0257519,183,0
97,-0.932395,11.9915,0.0213778,0.189247,-3.58312,0.751656,0.00260293,-0.0139646,0.0278668,183,0
98,-0.442362,11.9855,0.0217474,0.187305,-3.54277,0.738841,9.95899e-05,-0.0115053,0.0293575,183,0
99,0.047538,11.9796,0.0219624,0.18454,-3.50165,0.725821,-0.00239783,-0.00905422,0.0306975,183,0
100,0.537033,11.974,0.0217262,0.17929,-3.45817,0.712233,-0.00487267,-0.00663261,0.0315802,183,0
101,1.02628,11.9684,0.0211981,0.172994,-3.41374,0.699092,-0.00725483,-0.00430007,0.0322006,183,0
102,1.51525,11.963,0.0203669,0.165613,-3.36832,0.686419,-0.00954063,-0.00206015,0.0325487,183,0
103,2.00404,11.9581,0.0198494,0.154802,-3.32319,0.675224,-0.0115987,-4.01054e-05,0.0325764,183,0
104,2.49276,11.9533,0.0194413,0.142787,-3.27816,0.664549,-0.013577,0.00190282,0.0324915,183,0
105,2.98075,11.9478,0.0176456,0.129703,-3.23405,0.654653,-0.0151956,0.00353319,0.0320971,183,0
106,3.46886,11.9423,0.0166294,0.116289,-3.18969,0.644812,-0.016723,0.00508088,0.0316509,183,0
107,3.95729,11.937,0.0181277,0.101868,-3.14455,0.635125,-0.017973,0.00637642,0.0310513,183,0
108,4.4456,11.9315,0.0198681,0.0888151,-3.10035,0.623565,-0.0190587,0.00751027,0.0304077,183,0
109,4.93377,11.9256,0.0218587,0.0771863,-3.05714,0.610053,-0.0199734,0.00847561,0.0297184,183,0
110,5.42148,11.9199,0.0230723,0.0652404,-3.01418,0.59701,-0.0206722,0.00923343,0.0290145,183,0
111,5.90903,11.9142,0.0240122,0.0531816,-2.97131,0.584131,-0.0212949,0.00991811,0.0283052,183,0
112,6.39586,11.9093,0.0235077,0.0398669,-2.92748,0.572637,-0.0216773,0.0103796,0.0276103,183,0
113,6.88254,11.9044,0.0227342,0.0263866,-2.88352,0.561439,-0.0220097,0.0107958,0.0269265,183,0
114,7.36875,11.8997,0.021151,0.0124237,-2.83918,0.551134,-0.0221918,0.0110762,0.026278,183,0
115,7.85506,11.8944,0.0208067,-0.00126398,-2.79582,0.540836,-0.0222929,0.0112863,0.0256559,183,0
116,8.34149,11.8883,0.0217583,-0.0146632,-2.75347,0.530545,-0.0223094,0.0114228,0.0250613,183,0
117,8.82742,11.8817,0.0217092,-0.0279153,-2.71252,0.520564,-0.0222269,0.0114764,0.0245086,183,0
118,9.31315,11.8749,0.0213059,-0.0411141,-2.67207,0.510691,-0.0221092,0.0115007,0.0239708,183,0
119,9.79844,11.869,0.0205272,-0.0545018,-2.63157,0.501773,-0.0219056,0.011449,0.0234897,183,0
120,10.2836,11.8634,0.0193542,-0.0677275,-2.59083,0.492819,-0.0216902,0.0113793,0.0230245,183,0
121,10.7681,11.8588,0.0169292,-0.0804317,-2.54931,0.48372,-0.0214402,0.0112554,0.0226079,183,0
