,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
0,-49.5713,12.5244,-0.0957713,0.119886,0.00225157,0.266681,-1.58208e-05,-0.000377534,-0.000111604,,0
1,-49.059,12.5184,-0.096109,0.120119,0.000327633,0.267654,-4.72304e-05,-0.000385862,-0.000123303,,0
2,-48.5477,12.5123,-0.0980864,0.120365,-0.00163269,0.268569,-7.76195e-05,-0.000387589,-0.000138762,,0
3,-48.0358,12.5065,-0.0979643,0.120353,-0.00354035,0.268863,-0.000107548,-0.000385995,-0.000154406,,0
4,-47.5234,12.5011,-0.0957555,0.120084,-0.00539574,0.268538,-0.000137018,-0.000381098,-0.000170236,,0
5,-47.0107,12.4958,-0.0916794,0.119698,-0.00719149,0.267963,-0.000165608,-0.000373083,-0.00018647,,0
6,-46.4978,12.4906,-0.0869865,0.119275,-0.00896766,0.267306,-0.000193905,-0.000364033,-0.000202841,,0
7,-45.9853,12.4852,-0.0818077,0.119301,-0.0108067,0.267856,-0.000219192,-0.000352358,-0.000224125,,0
8,-45.4733,12.4797,-0.0779962,0.119296,-0.0127007,0.268702,-0.000244731,-0.000339886,-0.000246567,,0
9,-44.9631,12.4743,-0.0782491,0.119197,-0.0147584,0.270431,-0.000271013,-0.000325035,-0.000272475,,0
10,-44.4532,12.4689,-0.0789472,0.119075,-0.0168533,0.271795,-0.000300787,-0.000308851,-0.000298995,,0
11,-43.9436,12.4636,-0.080088,0.11893,-0.018985,0.272794,-0.000334042,-0.000291338,-0.000326128,,0
12,-43.4342,12.4582,-0.0805285,0.118759,-0.0210805,0.272942,-0.000368539,-0.000273813,-0.000353016,,0
13,-42.9247,12.4529,-0.0807341,0.118579,-0.0231639,0.272808,-0.00040345,-0.000256283,-0.000379824,,0
14,-42.4142,12.447,-0.0765383,0.118418,-0.0251789,0.272703,-0.00043294,-0.000237458,-0.000409597,,0
15,-41.9038,12.441,-0.0722978,0.118207,-0.0272053,0.272618,-0.000461814,-0.000218387,-0.000439205,,0
