,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
0,-49.8137,6.14231,-0.0764092,0,0,0,4.81467e-18,-1.07585e-17,5.72285e-18,0.0,2
1,-49.3014,6.13966,-0.0730602,0,0,0,6.04736e-20,-1.3888e-17,3.4092e-18,0.0,2
2,-48.7899,6.13657,-0.0708709,0,0,0,-2.93032e-18,-1.58445e-17,2.03786e-18,0.0,2
3,-48.2785,6.13327,-0.0688432,0,0,0,-5.71943e-18,-1.76565e-17,7.21756e-19,0.0,2
4,-47.7677,6.12939,-0.0672128,0,0,0,-8.00773e-18,-1.91132e-17,-4.56635e-19,0.0,2
5,-47.2566,6.1259,-0.0641892,0,0,0,-1.01637e-17,-2.01339e-17,-1.4321e-18,0.0,2
6,-46.7452,6.12276,-0.0599444,0,0,0,-1.22032e-17,-2.07718e-17,-2.22919e-18,0.0,2
7,-46.2348,6.12001,-0.0573201,0,0,0,-1.3818e-17,-2.0988e-17,-2.78383e-18,0.0,2
8,-45.7246,6.11739,-0.0551622,0,0,0,-1.53052e-17,-2.10761e-17,-3.2667e-18,0.0,2
9,-45.2148,6.11451,-0.0530334,0,0,0,-1.65367e-17,-2.08425e-17,-3.6464e-18,0.0,2
10,-44.705,6.11144,-0.0502851,0,0,0,-1.7647e-17,-2.05006e-17,-3.96981e-18,0.0,2
11,-44.1949,6.10788,-0.0458342,0,0,0,-1.84225e-17,-1.98601e-17,-4.13769e-18,0.0,2
12,-43.6851,6.10459,-0.0416035,0,0,0,-1.93693e-17,-1.9387e-17,-4.29041e-18,0.0,2
13,-43.1755,6.1016,-0.0375921,0,0,0,-2.04805e-17,-1.90743e-17,-4.42859e-18,0.0,2
14,-42.6665,6.09872,-0.0342398,0,0,0,-2.09976e-17,-1.86282e-17,-4.45031e-18,0.0,2
15,-42.1577,6.09586,-0.0311104,0,0,0,-2.13224e-17,-1.81388e-17,-4.43417e-18,0.0,2
16,-41.6495,6.09343,-0.0285832,0,0,0,-2.09499e-17,-1.70585e-17,-4.30255e-18,0.0,2
17,-41.1414,6.09107,-0.025914,0,0,0,-2.054e-17,-1.60276e-17,-4.13189e-18,0.0,2
18,-40.6335,6.08889,-0.0228011,0,0,0,-2.00142e-17,-1.51498e-17,-3.84072e-18,0.0,2
19,-40.1258,6.08652,-0.0199801,0,0,0,-1.94114e-17,-1.43904e-17,-3.64464e-18,0.0,2
20,-39.6185,6.0839,-0.0174635,0,0,0,-1.87277e-17,-1.37548e-17,-3.54797e-18,0.0,2
21,-39.1116,6.08094,-0.0154759,0,0,0,-1.81918e-17,-1.31847e-17,-3.28037e-18,0.0,2
22,-38.605,6.07783,-0.0136803,0,0,0,-1.77101e-17,-1.26383e-17,-2.95068e-18,0.0,2
23,-38.0993,6.07432,-0.0138106,0,0,0,-1.72109e-17,-1.22779e-17,-2.58405e-18,0.0,2
24,-37.5939,6.07082,-0.0140838,0,0,0,-1.6673e-17,-1.19348e-17,-2.26537e-18,0.0,2
25,-37.0888,6.06734,-0.0146938,0,0,0,-1.60006e-17,-1.16385e-17,-2.11711e-18,0.0,2
26,-36.5836,6.06378,-0.0142594,0,0,0,-1.52969e-17,-1.15611e-17,-1.98161e-18,0.0,2
27,-36.0783,6.06016,-0.0126325,0,0,0,-1.45574e-17,-1.17331e-17,-1.8607e-18,0.0,2
28,-35.573,6.05632,-0.0104706,0,0,0,-1.34092e-17,-1.17524e-17,-1.68963e-18,0.0,2
29,-35.0678,6.05241,-0.00809184,0,0,0,-1.20959e-17,-1.171e-17,-1.49843e-18,0.0,2
30,-34.5625,6.04908,-0.0039599,0,0,0,-1.09835e-17,-1.21133e-17,-1.53457e-18,0.0,2
31,-34.0574,6.04583,-0.000401132,0,0,0,-9.88815e-18,-1.24592e-17,-1.60421e-18,0.0,2
32,-33.5535,6.04286,0.000558829,0,0,0,-8.82394e-18,-1.24976e-17,-1.76579e-18,0.0,2
33,-33.0495,6.04021,0.00248154,0,0,0,-7.97943e-18,-1.26589e-17,-1.88518e-18,0.0,2
34,-32.5453,6.03797,0.00560332,0,0,0,-7.40789e-18,-1.29729e-17,-1.95228e-18,0.0,2
35,-32.0424,6.03582,0.00548935,0,0,0,-6.73928e-18,-1.3113e-17,-1.96011e-18,0.0,2
36,-31.5401,6.03368,0.00392181,0,0,0,-6.02683e-18,-1.31753e-17,-1.94153e-18,0.0,2
37,-31.0367,6.0307,0.00722732,0,0,0,-5.35245e-18,-1.33028e-17,-2.15739e-18,0.0,2
38,-30.5334,6.02756,0.0105205,0,0,0,-4.66868e-18,-1.34488e-17,-2.33253e-18,0.0,2
39,-30.0309,6.02394,0.0121917,0,0,0,-3.9317e-18,-1.36569e-17,-2.24764e-18,0.0,2
40,-29.5289,6.02028,0.0128015,0,0,0,-3.36434e-18,-1.37487e-17,-2.16686e-18,0.0,2
41,-29.0276,6.01654,0.0119747,0,0,0,-3.02763e-18,-1.36836e-17,-2.09187e-18,0.0,2
42,-28.5261,6.01309,0.0126752,0,0,0,-2.82058e-18,-1.40497e-17,-1.94125e-18,0.0,2
43,-28.0245,6.00981,0.0141313,0,0,0,-2.67743e-18,-1.4629e-17,-1.75328e-18,0.0,2
44,-27.5234,6.00689,0.0152812,0,0,0,-2.94178e-18,-1.50125e-17,-1.34992e-18,0.0,2
45,-27.0223,6.00402,0.0165155,0,0,0,-3.24803e-18,-1.53216e-17,-9.15498e-19,0.0,2
46,-26.5214,6.00119,0.0183557,0,0,0,-3.57482e-18,-1.53335e-17,-4.23149e-19,0.0,2
47,-26.0207,5.99833,0.0201387,0,0,0,-3.99602e-18,-1.52596e-17,4.97469e-21,0.0,2
48,-25.5202,5.99546,0.0218333,0,0,0,-4.55721e-18,-1.50587e-17,3.38076e-19,0.0,2
49,-25.0202,5.99239,0.0231683,0,0,0,-5.14183e-18,-1.51925e-17,7.34679e-19,0.0,2
50,-24.5203,5.9892,0.0243095,0,0,0,-5.73928e-18,-1.55082e-17,1.16584e-18,0.0,2
51,-24.0211,5.98622,0.024271,0,0,0,-6.82277e-18,-1.57921e-17,1.52623e-18,0.0,2
52,-23.5221,5.98329,0.0240012,0,0,0,-7.97905e-18,-1.60471e-17,1.83816e-18,0.0,2
53,-23.0236,5.98056,0.0231654,0,0,0,-9.22642e-18,-1.61451e-17,1.89734e-18,0.0,2
