,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
0,-49.6126,-11.4461,-0.0759434,0,0,0,-1.64856e-17,-1.33893e-17,-1.66098e-17,0.0,8
1,-49.0991,-11.4501,-0.0743724,0,0,0,-1.66611e-17,-1.21118e-17,-1.51725e-17,0.0,8
2,-48.5852,-11.4539,-0.0713046,0,0,0,-1.68981e-17,-1.1106e-17,-1.36703e-17,0.0,8
3,-48.071,-11.4574,-0.0664867,0,0,0,-1.72051e-17,-1.04097e-17,-1.20942e-17,0.0,8
4,-47.5579,-11.4608,-0.0641619,0,0,0,-1.74764e-17,-9.96407e-18,-1.05754e-17,0.0,8
5,-47.0453,-11.4642,-0.0628246,0,0,0,-1.77334e-17,-9.61745e-18,-9.07802e-18,0.0,8
6,-46.5334,-11.4686,-0.0621431,0,0,0,-1.81259e-17,-9.87783e-18,-7.7987e-18,0.0,8
7,-46.0215,-11.4731,-0.0612497,0,0,0,-1.84409e-17,-1.02307e-17,-6.57238e-18,0.0,8
8,-45.5096,-11.4782,-0.059505,0,0,0,-1.84637e-17,-1.08406e-17,-5.51474e-18,0.0,8
9,-44.9976,-11.4833,-0.0566374,0,0,0,-1.87493e-17,-1.16139e-17,-4.57112e-18,0.0,8
10,-44.4854,-11.4886,-0.0525061,0,0,0,-1.93317e-17,-1.25711e-17,-3.7563e-18,0.0,8
11,-43.9739,-11.4936,-0.0497623,0,0,0,-1.93146e-17,-1.30301e-17,-3.0804e-18,0.0,8
12,-43.4627,-11.4985,-0.0475654,0,0,0,-1.90651e-17,-1.32965e-17,-2.45743e-18,0.0,8
13,-42.9523,-11.5028,-0.0463994,0,0,0,-1.866e-17,-1.42187e-17,-2.21802e-18,0.0,8
14,-42.442,-11.5068,-0.0450584,0,0,0,-1.82679e-17,-1.51768e-17,-1.91981e-18,0.0,8
15,-41.9317,-11.5101,-0.0429311,0,0,0,-1.79377e-17,-1.61893e-17,-1.3781e-18,0.0,8
16,-41.4215,-11.5132,-0.0405935,0,0,0,-1.79338e-17,-1.69955e-17,-1.08716e-18,0.0,8
17,-40.9114,-11.5162,-0.038029,0,0,0,-1.82939e-17,-1.75718e-17,-1.07592e-18,0.0,8
18,-40.4015,-11.5197,-0.0348595,0,0,0,-1.81689e-17,-1.8607e-17,-1.12469e-18,0.0,8
19,-39.8916,-11.5233,-0.031441,0,0,0,-1.78583e-17,-1.9818e-17,-1.19632e-18,0.0,8
20,-39.3813,-11.528,-0.0253782,0,0,0,-1.70209e-17,-2.01857e-17,-1.20275e-18,0.0,8
21,-38.8713,-11.5328,-0.020031,0,0,0,-1.62869e-17,-2.05067e-17,-1.32084e-18,0.0,8
22,-38.3626,-11.5378,-0.0174296,0,0,0,-1.5953e-17,-2.07386e-17,-1.82985e-18,0.0,8
23,-37.8546,-11.5428,-0.0163888,0,0,0,-1.56434e-17,-2.08378e-17,-2.17888e-18,0.0,8
24,-37.3474,-11.548,-0.0170707,0,0,0,-1.53608e-17,-2.07902e-17,-2.35227e-18,0.0,8
25,-36.8403,-11.5525,-0.0174838,0,0,0,-1.5522e-17,-2.08341e-17,-2.65075e-18,0.0,8
26,-36.3333,-11.5567,-0.0178003,0,0,0,-1.5851e-17,-2.09137e-17,-2.99672e-18,0.0,8
27,-35.826,-11.5608,-0.0155827,0,0,0,-1.61264e-17,-2.05557e-17,-3.2657e-18,0.0,8
28,-35.3186,-11.5649,-0.0129981,0,0,0,-1.63501e-17,-2.02634e-17,-3.57956e-18,0.0,8
29,-34.8112,-11.569,-0.00941507,0,0,0,-1.64012e-17,-2.02273e-17,-4.05022e-18,0.0,8
30,-34.3041,-11.5732,-0.00624763,0,0,0,-1.64376e-17,-2.01016e-17,-4.41104e-18,0.0,8
31,-33.7974,-11.5774,-0.00351504,0,0,0,-1.64575e-17,-1.98777e-17,-4.65258e-18,0.0,8
32,-33.2914,-11.5813,-0.00203993,0,0,0,-1.63087e-17,-1.89352e-17,-4.91852e-18,0.0,8
33,-32.7857,-11.5851,-0.0010228,0,0,0,-1.60971e-17,-1.77263e-17,-5.19417e-18,0.0,8
34,-32.2803,-11.5886,0.000104798,0,0,0,-1.59365e-17,-1.66886e-17,-5.52203e-18,0.0,8
35,-31.7751,-11.5922,0.00113984,0,0,0,-1.57722e-17,-1.57263e-17,-5.81618e-18,0.0,8
36,-31.2702,-11.5966,0.00184776,0,0,0,-1.55912e-17,-1.50046e-17,-5.99299e-18,0.0,8
37,-30.7657,-11.6013,0.00235991,0,0,0,-1.54494e-17,-1.4434e-17,-6.11595e-18,0.0,8
38,-30.2614,-11.6064,0.00267757,0,0,0,-1.53504e-17,-1.40254e-17,-6.18082e-18,0.0,8
39,-29.7578,-11.6112,0.00188711,0,0,0,-1.54082e-17,-1.33134e-17,-6.11675e-18,0.0,8
40,-29.2544,-11.6158,0.00069335,0,0,0,-1.55247e-17,-1.24898e-17,-6.00586e-18,0.0,8
41,-28.7514,-11.6199,-0.000592187,0,0,0,-1.48406e-17,-1.24673e-17,-6.00082e-18,0.0,8
42,-28.2485,-11.624,-0.0018887,0,0,0,-1.40706e-17,-1.2314e-17,-5.94536e-18,0.0,8
43,-27.7459,-11.6284,-0.0032096,0,0,0,-1.30622e-17,-1.16896e-17,-5.71932e-18,0.0,8
44,-27.2435,-11.6331,-0.00422251,0,0,0,-1.25606e-17,-1.12882e-17,-5.37772e-18,0.0,8
45,-26.7411,-11.6379,-0.00490666,0,0,0,-1.25977e-17,-1.11238e-17,-4.91244e-18,0.0,8
46,-26.239,-11.6426,-0.00546717,0,0,0,-1.26496e-17,-1.10031e-17,-4.50617e-18,0.0,8
47,-25.737,-11.6473,-0.00598333,0,0,0,-1.27069e-17,-1.08982e-17,-4.12089e-18,0.0,8
48,-25.2341,-11.6518,-0.00210482,0,0,0,-1.27453e-17,-1.04719e-17,-3.34975e-18,0.0,8
49,-24.7313,-11.6564,0.00166072,0,0,0,-1.26802e-17,-1.01176e-17,-2.68564e-18,0.0,8
50,-24.229,-11.6608,0.00482917,0,0,0,-1.22796e-17,-1.00074e-17,-2.3826e-18,0.0,8
51,-23.727,-11.6649,0.00751188,0,0,0,-1.22411e-17,-1.00492e-17,-1.98426e-18,0.0,8
52,-23.2254,-11.6687,0.00968108,0,0,0,-1.25823e-17,-1.02495e-17,-1.48631e-18,0.0,8
53,-22.7243,-11.6727,0.011046,0,0,0,-1.32424e-17,-1.07318e-17,-1.14149e-18,0.0,8
54,-22.2234,-11.6766,0.0121296,0,0,0,-1.40152e-17,-1.1315e-17,-8.5052e-19,0.0,8
