,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
0,-49.9989,-6.67412,-0.0579305,0,0,0,-1.6697e-17,-2.35406e-17,-1.2115e-18,0.0,6
1,-49.4877,-6.67654,-0.0577032,0,0,0,-1.6609e-17,-2.09385e-17,-8.80873e-19,0.0,6
2,-48.976,-6.67852,-0.0550889,0,0,0,-1.66602e-17,-1.97094e-17,-4.33237e-19,0.0,6
3,-48.4643,-6.68081,-0.0519875,0,0,0,-1.68183e-17,-1.86602e-17,-1.8336e-20,0.0,6
4,-47.9527,-6.68341,-0.0483596,0,0,0,-1.70924e-17,-1.78058e-17,3.61235e-19,0.0,6
5,-47.4416,-6.68564,-0.0454363,0,0,0,-1.74359e-17,-1.7212e-17,7.10255e-19,0.0,6
6,-46.9307,-6.68772,-0.0427829,0,0,0,-1.78056e-17,-1.67177e-17,1.04777e-18,0.0,6
7,-46.4208,-6.68875,-0.0418507,0,0,0,-1.82235e-17,-1.66852e-17,1.26037e-18,0.0,6
8,-45.9111,-6.68994,-0.0412202,0,0,0,-1.85634e-17,-1.67438e-17,1.44924e-18,0.0,6
9,-45.4021,-6.6919,-0.0415046,0,0,0,-1.86068e-17,-1.7085e-17,1.56476e-18,0.0,6
10,-44.893,-6.69448,-0.0410144,0,0,0,-1.87729e-17,-1.75531e-17,1.63033e-18,0.0,6
11,-44.3839,-6.69783,-0.0395977,0,0,0,-1.90863e-17,-1.81731e-17,1.63594e-18,0.0,6
12,-43.8749,-6.70063,-0.0380186,0,0,0,-1.89305e-17,-1.83872e-17,1.57445e-18,0.0,6
13,-43.3661,-6.70318,-0.0363695,0,0,0,-1.85722e-17,-1.8426e-17,1.48404e-18,0.0,6
14,-42.8569,-6.70488,-0.0325697,0,0,0,-1.82962e-17,-1.86065e-17,1.2884e-18,0.0,6
15,-42.3478,-6.70651,-0.0283702,0,0,0,-1.79791e-17,-1.88604e-17,1.12405e-18,0.0,6
16,-41.8385,-6.70805,-0.0229899,0,0,0,-1.746e-17,-1.9397e-17,1.12462e-18,0.0,6
17,-41.3299,-6.70962,-0.0189944,0,0,0,-1.69833e-17,-1.97272e-17,1.03551e-18,0.0,6
18,-40.8222,-6.71125,-0.0168385,0,0,0,-1.6563e-17,-1.97834e-17,8.27333e-19,0.0,6
19,-40.315,-6.71331,-0.0155065,0,0,0,-1.62188e-17,-2.00163e-17,6.13828e-19,0.0,6
20,-39.8081,-6.71558,-0.0145734,0,0,0,-1.59114e-17,-2.03352e-17,3.97711e-19,0.0,6
21,-39.3021,-6.71862,-0.0150915,0,0,0,-1.48906e-17,-2.01849e-17,1.60101e-19,0.0,6
22,-38.7961,-6.72151,-0.0154195,0,0,0,-1.39312e-17,-1.99869e-17,-1.30776e-19,0.0,6
23,-38.2899,-6.72342,-0.0140677,0,0,0,-1.36294e-17,-1.97605e-17,-6.89861e-19,0.0,6
24,-37.7838,-6.72518,-0.0125498,0,0,0,-1.33108e-17,-1.95359e-17,-1.11678e-18,0.0,6
25,-37.2779,-6.72673,-0.0107856,0,0,0,-1.29674e-17,-1.93138e-17,-1.34895e-18,0.0,6
26,-36.7723,-6.7286,-0.00909247,0,0,0,-1.26667e-17,-1.88221e-17,-1.50322e-18,0.0,6
27,-36.2668,-6.73064,-0.00743829,0,0,0,-1.23893e-17,-1.81842e-17,-1.61522e-18,0.0,6
28,-35.7617,-6.73331,-0.0056291,0,0,0,-1.20891e-17,-1.77608e-17,-1.70129e-18,0.0,6
29,-35.2566,-6.73601,-0.00381797,0,0,0,-1.17976e-17,-1.73729e-17,-1.79558e-18,0.0,6
30,-34.752,-6.73839,-0.00212198,0,0,0,-1.1578e-17,-1.70452e-17,-1.96227e-18,0.0,6
31,-34.2473,-6.74065,-4.83129e-06,0,0,0,-1.14416e-17,-1.68119e-17,-2.08906e-18,0.0,6
32,-33.7428,-6.74271,0.00280323,0,0,0,-1.14415e-17,-1.67333e-17,-2.15042e-18,0.0,6
33,-33.2386,-6.74492,0.0049784,0,0,0,-1.15424e-17,-1.62043e-17,-2.21353e-18,0.0,6
34,-32.7348,-6.74723,0.00676966,0,0,0,-1.17045e-17,-1.54027e-17,-2.27769e-18,0.0,6
35,-32.231,-6.74972,0.00955977,0,0,0,-1.18352e-17,-1.46688e-17,-2.29647e-18,0.0,6
36,-31.7273,-6.75219,0.0123121,0,0,0,-1.19328e-17,-1.39811e-17,-2.31934e-18,0.0,6
37,-31.2245,-6.75427,0.0135121,0,0,0,-1.18025e-17,-1.35815e-17,-2.4314e-18,0.0,6
38,-30.722,-6.75642,0.0138875,0,0,0,-1.1798e-17,-1.33242e-17,-2.53724e-18,0.0,6
39,-30.2203,-6.75867,0.0127562,0,0,0,-1.20233e-17,-1.33264e-17,-2.63177e-18,0.0,6
40,-29.7189,-6.76125,0.0114903,0,0,0,-1.20179e-17,-1.31824e-17,-2.6765e-18,0.0,6
41,-29.2177,-6.76405,0.0101338,0,0,0,-1.18573e-17,-1.29398e-17,-2.68763e-18,0.0,6
42,-28.7166,-6.76712,0.00934517,0,0,0,-1.17373e-17,-1.27586e-17,-2.75063e-18,0.0,6
43,-28.2155,-6.77016,0.00894224,0,0,0,-1.16051e-17,-1.25848e-17,-2.79865e-18,0.0,6
44,-27.7139,-6.77221,0.0115467,0,0,0,-1.12624e-17,-1.23661e-17,-2.58103e-18,0.0,6
45,-27.2124,-6.77417,0.0140672,0,0,0,-1.09726e-17,-1.21788e-17,-2.46227e-18,0.0,6
46,-26.7112,-6.77596,0.0164184,0,0,0,-1.07913e-17,-1.20558e-17,-2.54553e-18,0.0,6
47,-26.2104,-6.77765,0.0184488,0,0,0,-1.08195e-17,-1.19391e-17,-2.54292e-18,0.0,6
48,-25.7098,-6.77923,0.0202432,0,0,0,-1.10043e-17,-1.18272e-17,-2.47618e-18,0.0,6
49,-25.2099,-6.78111,0.020905,0,0,0,-1.09221e-17,-1.15784e-17,-2.23882e-18,0.0,6
50,-24.7101,-6.78306,0.0213874,0,0,0,-1.07884e-17,-1.13001e-17,-1.98325e-18,0.0,6
51,-24.2104,-6.78524,0.0230413,0,0,0,-1.07911e-17,-1.10451e-17,-2.04775e-18,0.0,6
52,-23.7107,-6.78754,0.0249557,0,0,0,-1.0877e-17,-1.09443e-17,-2.06659e-18,0.0,6
