"L0",,,,,,,,,,"L1",,,,,,,,,"L2",,,,,,,,,"L3",,,,,,,,,"L4",,,,,,,,,"L5",,,,,,,,,"L6",,,,,,,,,"L7",,,,,,,,,"L8",,,,,,,,,"L9",,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange"
0,-49.5713,12.5244,-0.0957713,0,0,0,1.7286e-18,-8.20624e-18,3.65718e-18,-49.701,9.748,-0.0997948,0,0,0,5.9808e-18,-1.02202e-17,5.11357e-18,-49.8137,6.14231,-0.0764092,0,0,0,4.81467e-18,-1.07585e-17,5.72285e-18,-49.7642,2.70179,-0.0612951,0,0,0,-1.00664e-18,-1.04373e-17,2.40966e-18,-49.5496,-0.737501,-0.0570428,0,0,0,-9.70818e-18,-1.70221e-17,3.70513e-18,-49.6803,-4.19689,-0.0532419,0,0,0,-1.50366e-17,-2.08069e-17,4.35978e-18,-49.9989,-6.67412,-0.0579305,0,0,0,-1.6697e-17,-2.35406e-17,-1.2115e-18,47.8027,-10.1407,-0.0714249,0,0,0,-2.00253e-18,-1.50803e-17,-2.48021e-18,-49.6126,-11.4461,-0.0759434,0,0,0,-1.64856e-17,-1.33893e-17,-1.66098e-17,-49.9487,-14.0822,-0.0758731,0,0,0,-1.69628e-17,-9.42809e-18,-2.63978e-17
1,-49.059,12.5184,-0.096109,0,0,0,-1.9853e-19,-9.4444e-18,3.23873e-18,-49.1875,9.7414,-0.096048,0,0,0,2.53897e-18,-1.17794e-17,3.60374e-18,-49.3014,6.13966,-0.0730602,0,0,0,6.04736e-20,-1.3888e-17,3.4092e-18,-49.2514,2.70122,-0.0580405,0,0,0,-4.78764e-18,-1.32384e-17,1.80578e-18,-49.0397,-0.738611,-0.0556185,0,0,0,-1.12331e-17,-1.70606e-17,4.27759e-18,-49.17,-4.19362,-0.0531,0,0,0,-1.53651e-17,-1.94106e-17,4.77278e-18,-49.4877,-6.67654,-0.0577032,0,0,0,-1.6609e-17,-2.09385e-17,-8.80873e-19,47.3338,-10.1358,-0.0696598,0,0,0,-9.62452e-19,-1.28478e-17,-3.03722e-18,-49.0991,-11.4501,-0.0743724,0,0,0,-1.66611e-17,-1.21118e-17,-1.51725e-17,-49.4333,-14.0822,-0.0747289,0,0,0,-1.7179e-17,-7.99743e-18,-2.40783e-17
2,-48.5477,12.5123,-0.0980864,0,0,0,-2.07557e-18,-1.06174e-17,2.72543e-18,-48.6747,9.7344,-0.0934974,0,0,0,-9.23035e-20,-1.30029e-17,2.47496e-18,-48.7899,6.13657,-0.0708709,0,0,0,-2.93032e-18,-1.58445e-17,2.03786e-18,-48.739,2.70054,-0.0552304,0,0,0,-7.55003e-18,-1.53439e-17,1.61549e-18,-48.53,-0.739792,-0.0541874,0,0,0,-1.26657e-17,-1.71771e-17,4.81394e-18,-48.6599,-4.19053,-0.0533186,0,0,0,-1.57302e-17,-1.84261e-17,5.18091e-18,-48.976,-6.67852,-0.0550889,0,0,0,-1.66602e-17,-1.97094e-17,-4.33237e-19,46.8646,-10.1314,-0.0682061,0,0,0,-1.4586e-18,-1.15494e-17,-3.19669e-18,-48.5852,-11.4539,-0.0713046,0,0,0,-1.68981e-17,-1.1106e-17,-1.36703e-17,-48.918,-14.0825,-0.0734826,0,0,0,-1.72121e-17,-7.12833e-18,-2.1666e-17
3,-48.0358,12.5065,-0.0979643,0,0,0,-3.71187e-18,-1.19245e-17,2.1453e-18,-48.1625,9.7274,-0.0919223,0,0,0,-2.54088e-18,-1.42612e-17,1.37071e-18,-48.2785,6.13327,-0.0688432,0,0,0,-5.71943e-18,-1.76565e-17,7.21756e-19,-48.2271,2.69993,-0.0532311,0,0,0,-9.86488e-18,-1.70058e-17,1.31604e-18,-48.0204,-0.742007,-0.0520493,0,0,0,-1.36072e-17,-1.70759e-17,4.87441e-18,-48.149,-4.18736,-0.0501311,0,0,0,-1.60378e-17,-1.76973e-17,5.25544e-18,-48.4643,-6.68081,-0.0519875,0,0,0,-1.68183e-17,-1.86602e-17,-1.8336e-20,46.3951,-10.1272,-0.0677335,0,0,0,-1.97194e-18,-1.04511e-17,-3.29538e-18,-48.071,-11.4574,-0.0664867,0,0,0,-1.72051e-17,-1.04097e-17,-1.20942e-17,-48.4032,-14.0848,-0.0722308,0,0,0,-1.80548e-17,-6.68555e-18,-1.93251e-17
4,-47.5234,12.5011,-0.0957555,0,0,0,-5.10899e-18,-1.33649e-17,1.49867e-18,-47.6511,9.72041,-0.0919971,0,0,0,-4.68048e-18,-1.55779e-17,3.08052e-19,-47.7677,6.12939,-0.0672128,0,0,0,-8.00773e-18,-1.91132e-17,-4.56635e-19,-47.7157,2.69936,-0.0519616,0,0,0,-1.17808e-17,-1.82718e-17,9.196e-19,-47.5106,-0.744206,-0.048849,0,0,0,-1.45725e-17,-1.68831e-17,4.93332e-18,-47.6382,-4.18424,-0.0468376,0,0,0,-1.63859e-17,-1.70217e-17,5.31627e-18,-47.9527,-6.68341,-0.0483596,0,0,0,-1.70924e-17,-1.78058e-17,3.61235e-19,45.925,-10.1236,-0.0693384,0,0,0,-2.51885e-18,-9.78055e-18,-3.26235e-18,-47.5579,-11.4608,-0.0641619,0,0,0,-1.74764e-17,-9.96407e-18,-1.05754e-17,-47.8885,-14.0873,-0.0710503,0,0,0,-1.88537e-17,-6.36972e-18,-1.69901e-17
5,-47.0107,12.4958,-0.0916794,0,0,0,-6.28164e-18,-1.46809e-17,9.69415e-19,-47.1393,9.71361,-0.0902095,0,0,0,-6.68109e-18,-1.66967e-17,-5.70851e-19,-47.2566,6.1259,-0.0641892,0,0,0,-1.01637e-17,-2.01339e-17,-1.4321e-18,-47.2039,2.69947,-0.0488185,0,0,0,-1.35698e-17,-1.88049e-17,6.50735e-19,-47.0003,-0.746367,-0.0434759,0,0,0,-1.55859e-17,-1.65022e-17,4.98907e-18,-47.1277,-4.18137,-0.0433613,0,0,0,-1.68713e-17,-1.65092e-17,5.34787e-18,-47.4416,-6.68564,-0.0454363,0,0,0,-1.74359e-17,-1.7212e-17,7.10255e-19,45.4546,-10.1191,-0.0720397,0,0,0,-3.14994e-18,-9.33635e-18,-3.13441e-18,-47.0453,-11.4642,-0.0628246,0,0,0,-1.77334e-17,-9.61745e-18,-9.07802e-18,-47.3742,-14.0899,-0.0701472,0,0,0,-1.92356e-17,-6.46301e-18,-1.46633e-17
6,-46.4978,12.4906,-0.0869865,0,0,0,-7.37999e-18,-1.59558e-17,4.79167e-19,-46.6273,9.70693,-0.0872838,0,0,0,-8.59679e-18,-1.76945e-17,-1.33744e-18,-46.7452,6.12276,-0.0599444,0,0,0,-1.22032e-17,-2.07718e-17,-2.22919e-18,-46.6921,2.69976,-0.0451962,0,0,0,-1.53146e-17,-1.91139e-17,4.19524e-19,-46.49,-0.748725,-0.0373887,0,0,0,-1.65798e-17,-1.61668e-17,5.00926e-18,-46.6173,-4.17861,-0.0394634,0,0,0,-1.73961e-17,-1.61862e-17,5.35207e-18,-46.9307,-6.68772,-0.0427829,0,0,0,-1.78056e-17,-1.67177e-17,1.04777e-18,44.9839,-10.1139,-0.0755877,0,0,0,-3.84544e-18,-9.06612e-18,-2.93362e-18,-46.5334,-11.4686,-0.0621431,0,0,0,-1.81259e-17,-9.87783e-18,-7.7987e-18,-46.8599,-14.0922,-0.0684372,0,0,0,-1.97454e-17,-6.6229e-18,-1.23298e-17
7,-45.9853,12.4852,-0.0818077,0,0,0,-8.64649e-18,-1.70502e-17,1.5156e-19,-46.1154,9.70056,-0.0837845,0,0,0,-1.02129e-17,-1.84178e-17,-1.8676e-18,-46.2348,6.12001,-0.0573201,0,0,0,-1.3818e-17,-2.0988e-17,-2.78383e-18,-46.1818,2.69973,-0.0446114,0,0,0,-1.66435e-17,-1.89115e-17,2.54383e-19,-45.9798,-0.751258,-0.0307564,0,0,0,-1.75586e-17,-1.58662e-17,5.00227e-18,-46.1069,-4.17596,-0.0350715,0,0,0,-1.79652e-17,-1.60765e-17,5.32561e-18,-46.4208,-6.68875,-0.0418507,0,0,0,-1.82235e-17,-1.66852e-17,1.26037e-18,44.5137,-10.1079,-0.0747518,0,0,0,-4.72672e-18,-8.98024e-18,-2.71776e-18,-46.0215,-11.4731,-0.0612497,0,0,0,-1.84409e-17,-1.02307e-17,-6.57238e-18,-46.3454,-14.0942,-0.0657411,0,0,0,-2.04112e-17,-6.86252e-18,-9.98825e-18
8,-45.4733,12.4797,-0.0779962,0,0,0,-9.93938e-18,-1.81583e-17,-1.18432e-19,-45.6037,9.6944,-0.0803957,0,0,0,-1.17798e-17,-1.90846e-17,-2.34188e-18,-45.7246,6.11739,-0.0551622,0,0,0,-1.53052e-17,-2.10761e-17,-3.2667e-18,-45.6715,2.69953,-0.0436805,0,0,0,-1.7855e-17,-1.86177e-17,7.04472e-20,-45.4741,-0.753721,-0.0366143,0,0,0,-1.81443e-17,-1.55307e-17,4.84635e-18,-45.5981,-4.17319,-0.0343849,0,0,0,-1.82391e-17,-1.61548e-17,5.21418e-18,-45.9111,-6.68994,-0.0412202,0,0,0,-1.85634e-17,-1.67438e-17,1.44924e-18,44.0436,-10.1017,-0.0725131,0,0,0,-5.6441e-18,-8.95429e-18,-2.49759e-18,-45.5096,-11.4782,-0.059505,0,0,0,-1.84637e-17,-1.08406e-17,-5.51474e-18,-45.8304,-14.0956,-0.060476,0,0,0,-2.07161e-17,-7.46538e-18,-7.85297e-18
9,-44.9631,12.4743,-0.0782491,0,0,0,-1.13112e-17,-1.93064e-17,-2.16444e-19,-45.0929,9.68949,-0.0784575,0,0,0,-1.33149e-17,-1.96386e-17,-2.66416e-18,-45.2148,6.11451,-0.0530334,0,0,0,-1.65367e-17,-2.08425e-17,-3.6464e-18,-45.1611,2.69889,-0.0418185,0,0,0,-1.87432e-17,-1.80753e-17,-1.63052e-19,-44.9696,-0.756208,-0.0454576,0,0,0,-1.86352e-17,-1.51974e-17,4.65035e-18,-45.0899,-4.17036,-0.0352195,0,0,0,-1.83934e-17,-1.63089e-17,5.06761e-18,-45.4021,-6.6919,-0.0415046,0,0,0,-1.86068e-17,-1.7085e-17,1.56476e-18,43.5742,-10.0961,-0.0640329,0,0,0,-6.45081e-18,-9.21773e-18,-2.2515e-18,-44.9976,-11.4833,-0.0566374,0,0,0,-1.87493e-17,-1.16139e-17,-4.57112e-18,-45.3151,-14.0967,-0.0541345,0,0,0,-2.08718e-17,-8.21961e-18,-5.80179e-18
