"L0",,,,,,,,,,"L1",,,,,,,,,"L2",,,,,,,,,"L3",,,,,,,,,"L4",,,,,,,,,"L5",,,,,,,,,"L6",,,,,,,,,"L7",,,,,,,,,"L8",,,,,,,,,"L9",,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange"
10,-44.4532,12.4689,-0.0789472,0.218246,-0.178955,0.191665,-0.000581752,-0.000240602,-0.00110593,-44.5823,9.68475,-0.0767082,0.191682,-0.177046,0.193883,-0.000449612,-0.000402287,-0.0014365,-44.705,6.11144,-0.0502851,0.160317,-0.172915,0.198382,-0.000129019,-0.000791317,-0.00179165,-44.6505,2.69809,-0.0385439,0.131866,-0.170225,0.202137,0.000361188,-0.00137091,-0.00206572,-44.4652,-0.759537,-0.0538318,0.104412,-0.165655,0.207607,0.00103412,-0.00210152,-0.00228474,-44.5831,-4.16681,-0.0388477,0.0797209,-0.154837,0.212487,0.0018575,-0.0030059,-0.00228466,-44.893,-6.69448,-0.0410144,0.0605155,-0.142754,0.215552,0.00251481,-0.00368251,-0.00207033,43.1048,-10.0907,-0.0556747,0.183152,-0.0719163,0.199668,-0.000575183,-0.000362004,-0.000538155,-44.4854,-11.4886,-0.0525061,0.0300087,-0.120595,0.228206,0.00365026,-0.00473659,-0.00229448,-44.8019,-14.0986,-0.0526225,0.0111066,-0.0977253,0.235559,0.0038397,-0.00486925,-0.0020067
11,-43.9436,12.4636,-0.080088,0.217636,-0.185179,0.192442,-0.000639724,-0.000214552,-0.00118648,-44.072,9.68029,-0.0752861,0.191419,-0.183363,0.194971,-0.000494996,-0.000379756,-0.00153647,-44.1949,6.10788,-0.0458342,0.16033,-0.179124,0.199334,-0.000156123,-0.000778262,-0.00191806,-44.1397,2.69716,-0.0339316,0.131941,-0.176576,0.202646,0.000350726,-0.00137177,-0.00222377,-43.9601,-0.762557,-0.0594109,0.1049,-0.171755,0.207466,0.00103607,-0.00211487,-0.00248434,-44.0761,-4.16331,-0.0418071,0.0805449,-0.160884,0.21213,0.00187327,-0.00303201,-0.00254651,-44.3839,-6.69783,-0.0395977,0.0618666,-0.148283,0.215954,0.00254732,-0.00373118,-0.0023957,42.635,-10.0858,-0.0475907,0.183622,-0.0741048,0.200635,-0.000448241,-0.000525852,-0.000615001,-43.9739,-11.4936,-0.0497623,0.0328421,-0.12642,0.228576,0.00365071,-0.00476701,-0.00274457,-44.289,-14.1004,-0.0516657,0.0147998,-0.101576,0.236445,0.00383288,-0.00488952,-0.00255797
12,-43.4342,12.4582,-0.0805285,0.21707,-0.191656,0.192929,-0.000703174,-0.000187403,-0.00126675,-43.5619,9.67543,-0.0735301,0.190942,-0.189777,0.195469,-0.000543817,-0.000356399,-0.00163633,-43.6851,6.10459,-0.0416035,0.160311,-0.185527,0.200223,-0.000185982,-0.000763855,-0.00204389,-43.6298,2.69618,-0.0312794,0.13208,-0.18289,0.203133,0.000334793,-0.001368,-0.00238018,-43.4528,-0.764789,-0.0579374,0.105652,-0.177888,0.207574,0.00103091,-0.00212163,-0.00268154,-43.5683,-4.16012,-0.0412482,0.0815038,-0.16741,0.211686,0.00187661,-0.00304676,-0.00280241,-43.8749,-6.70063,-0.0380186,0.0634059,-0.154363,0.216112,0.00256357,-0.00376369,-0.0027109,42.1645,-10.0815,-0.0427194,0.183925,-0.0763794,0.201796,-0.000308243,-0.000703285,-0.000684284,-43.4627,-11.4985,-0.0475654,0.03556,-0.132467,0.22877,0.00363971,-0.00478496,-0.00318401,-43.7768,-14.1017,-0.0520299,0.018523,-0.107596,0.237213,0.00379452,-0.0048782,-0.00306614
13,-42.9247,12.4529,-0.0807341,0.216518,-0.198218,0.193319,-0.000768448,-0.000159885,-0.00134693,-43.0519,9.67033,-0.0715665,0.190333,-0.196253,0.195599,-0.000594774,-0.000332529,-0.00173614,-43.1755,6.1016,-0.0375921,0.16026,-0.192115,0.201055,-0.000218483,-0.000748148,-0.00216916,-43.1203,2.6952,-0.0292448,0.13224,-0.189195,0.203617,0.000317026,-0.00136267,-0.00253606,-42.944,-0.767133,-0.0511793,0.106539,-0.184554,0.207828,0.00101747,-0.00211803,-0.00288067,-43.0604,-4.15711,-0.0399893,0.0824747,-0.174035,0.211455,0.00187019,-0.00304795,-0.00305887,-43.3661,-6.70318,-0.0363695,0.0650264,-0.160682,0.216165,0.0025728,-0.00378921,-0.00302172,41.6935,-10.0779,-0.0404777,0.184091,-0.0787231,0.203117,-0.000157598,-0.000891791,-0.000747363,-42.9523,-11.5028,-0.0463994,0.038171,-0.14005,0.229118,0.00355836,-0.00472304,-0.0036071,-43.265,-14.1029,-0.0527064,0.0222172,-0.115295,0.238228,0.00371271,-0.00482092,-0.0035618
14,-42.4142,12.447,-0.0765383,0.216126,-0.204771,0.193646,-0.000834338,-0.00012811,-0.00143194,-42.5414,9.66482,-0.0668215,0.189941,-0.202867,0.196608,-0.000649006,-0.000304127,-0.00184136,-42.6665,6.09872,-0.0342398,0.160173,-0.198701,0.201692,-0.000257377,-0.000727186,-0.00229917,-42.6114,2.69436,-0.0277522,0.132443,-0.195835,0.204147,0.000286472,-0.00134509,-0.00269711,-42.4338,-0.769576,-0.0396041,0.10755,-0.191708,0.208215,0.000996478,-0.00210499,-0.00308157,-42.5525,-4.15431,-0.037816,0.0834621,-0.180788,0.211501,0.00185107,-0.00303155,-0.00331611,-42.8569,-6.70488,-0.0325697,0.0665707,-0.167292,0.2161,0.00254962,-0.00377246,-0.00333102,41.2217,-10.0735,-0.0409461,0.184045,-0.0810241,0.204814,2.96209e-05,-0.00111258,-0.000795513,-42.442,-11.5068,-0.0450584,0.0407623,-0.14778,0.229485,0.00346006,-0.00464234,-0.0040217,-42.7535,-14.104,-0.0537223,0.0258806,-0.124841,0.239518,0.00358311,-0.00471309,-0.00404368
15,-41.9038,12.441,-0.0722978,0.215671,-0.211347,0.194006,-0.000900749,-9.48992e-05,-0.00151716,-42.0308,9.65922,-0.06164,0.189593,-0.209476,0.197745,-0.00070425,-0.000274393,-0.00194767,-42.1577,6.09586,-0.0311104,0.160075,-0.205286,0.202266,-0.000298347,-0.000704519,-0.00243071,-42.1024,2.69359,-0.0257918,0.132615,-0.202557,0.204519,0.000252393,-0.00132453,-0.00285845,-41.9243,-0.771293,-0.0291349,0.108234,-0.198896,0.208262,0.000961931,-0.00207768,-0.00328095,-42.0443,-4.15223,-0.0338611,0.0845423,-0.187794,0.211942,0.00181543,-0.00299543,-0.00356758,-42.3478,-6.70651,-0.0283702,0.0680902,-0.174002,0.216059,0.00251796,-0.00374535,-0.00363739,40.7497,-10.069,-0.0421291,0.183942,-0.0833013,0.206638,0.000227941,-0.0013431,-0.000838277,-41.9317,-11.5101,-0.0429311,0.0432854,-0.155858,0.229888,0.00331,-0.00450435,-0.00440778,-42.242,-14.1054,-0.0540058,0.0283957,-0.134755,0.239504,0.00339174,-0.00453994,-0.00448941
16,-41.3937,12.4352,-0.0679142,0.215024,-0.217991,0.194466,-0.000968712,-5.7388e-05,-0.00160296,-41.5206,9.65354,-0.0564206,0.189318,-0.215886,0.19881,-0.000763391,-0.000239784,-0.00205591,-41.6495,6.09343,-0.0285832,0.159637,-0.211876,0.202155,-0.000347949,-0.000675111,-0.00256468,-41.5933,2.69298,-0.0224426,0.132691,-0.20952,0.204415,0.000208021,-0.00129526,-0.00302073,-41.415,-0.772766,-0.0190133,0.108817,-0.206095,0.208204,0.00092313,-0.0020459,-0.00347983,-41.5359,-4.15048,-0.0290442,0.0856661,-0.194923,0.212571,0.00177189,-0.00294989,-0.00381621,-41.8385,-6.70805,-0.0229899,0.0695211,-0.181068,0.216147,0.00245783,-0.0036843,-0.00393121,40.2772,-10.065,-0.0438691,0.1838,-0.0852914,0.209145,0.000466455,-0.00160791,-0.000848017,-41.4215,-11.5132,-0.0405935,0.0455414,-0.163933,0.230004,0.00313523,-0.00433668,-0.00476736,-41.7306,-14.107,-0.0540261,0.0304911,-0.144805,0.239014,0.00317778,-0.00434291,-0.00492201
17,-40.884,12.4296,-0.0640757,0.214396,-0.224587,0.195163,-0.00104108,-1.69158e-05,-0.00168848,-41.011,9.64776,-0.0525956,0.18892,-0.222264,0.19967,-0.000825281,-0.00020307,-0.00216358,-41.1414,6.09107,-0.025914,0.15915,-0.218544,0.202038,-0.000399341,-0.000644061,-0.002698,-41.0841,2.69251,-0.018467,0.132726,-0.216654,0.204419,0.000158574,-0.00126105,-0.00318089,-40.9081,-0.774288,-0.0147862,0.109286,-0.213275,0.208343,0.000869103,-0.0019989,-0.00367088,-41.028,-4.14925,-0.0243981,0.0868316,-0.202454,0.213253,0.00170784,-0.00288138,-0.00404984,-41.3299,-6.70962,-0.0189944,0.0709924,-0.188467,0.216427,0.00238444,-0.00360722,-0.00421378,39.8048,-10.061,-0.0452589,0.183683,-0.0873322,0.211405,0.000712255,-0.00188097,-0.000843409,-40.9114,-11.5162,-0.038029,0.0474958,-0.172001,0.22979,0.00293296,-0.00413595,-0.0050974,-41.2191,-14.1095,-0.0522545,0.0323348,-0.155031,0.23763,0.00289841,-0.00407329,-0.0052788
18,-40.3746,12.4242,-0.0607808,0.213787,-0.231134,0.196097,-0.00111786,2.65168e-05,-0.00177373,-40.5025,9.6418,-0.051213,0.188307,-0.228586,0.200169,-0.000891987,-0.000162669,-0.00227024,-40.6335,6.08889,-0.0228011,0.158511,-0.225454,0.201908,-0.000456245,-0.000607951,-0.00282935,-40.575,2.69214,-0.0138678,0.13272,-0.223958,0.204534,0.000104074,-0.00122191,-0.00333893,-40.4014,-0.775862,-0.0109129,0.109711,-0.220447,0.208449,0.000812894,-0.0019486,-0.00386006,-40.5203,-4.14778,-0.0201246,0.087957,-0.210036,0.213814,0.00163923,-0.00280752,-0.00427952,-40.8222,-6.71125,-0.0168385,0.0725174,-0.19631,0.216961,0.00229345,-0.00350885,-0.00448138,39.3322,-10.0571,-0.0457788,0.183628,-0.0894965,0.213061,0.000976063,-0.00217447,-0.000803787,-40.4015,-11.5197,-0.0348595,0.0487943,-0.180713,0.229208,0.00270509,-0.00390235,-0.00537755,-40.7075,-14.112,-0.0501993,0.0339919,-0.165307,0.236085,0.00260908,-0.00379094,-0.00560997
19,-39.8658,12.4189,-0.0581459,0.213216,-0.237698,0.197313,-0.00120178,7.2664e-05,-0.00185996,-39.9943,9.63602,-0.0500346,0.187587,-0.235131,0.200533,-0.000963598,-0.000119766,-0.00237678,-40.1258,6.08652,-0.0199801,0.157974,-0.232488,0.202186,-0.000516112,-0.000568834,-0.00295957,-40.0672,2.6918,-0.0123956,0.132703,-0.231149,0.205085,4.57762e-05,-0.001176,-0.00349335,-39.8955,-0.777603,-0.00817175,0.109997,-0.227596,0.208455,0.000749765,-0.00188784,-0.00404335,-40.0136,-4.1446,-0.0178194,0.0888639,-0.217692,0.213724,0.00155598,-0.00271589,-0.00449585,-40.315,-6.71331,-0.0155065,0.0740179,-0.204235,0.217352,0.0021852,-0.00338993,-0.00473019,38.8596,-10.0532,-0.0455066,0.183452,-0.0916094,0.214633,0.00124861,-0.00247641,-0.000733049,-39.8916,-11.5233,-0.031441,0.0498409,-0.18967,0.228488,0.00246731,-0.0036561,-0.00563867,-40.196,-14.1145,-0.0473329,0.0350887,-0.175722,0.234087,0.00229161,-0.0034722,-0.00586497
